latitude;longitude;altitude;geometry;coordinates;line;sectionId;color;origin;destination
;;;LineString;-1.361528174091376,-5.981854962769723,-1.361517078629099,-5.981843791318965,-1.361515478628986,-5.981842541733678,-1.361513486345106,-5.98184151522557,-1.361511356623146,-5.981840819139294,-1.361509343933931,-5.981840558915038,-1.361426320943615,-5.981840;9;232;#b6bd00;Rue de la Pompe                           ;Trocadéro                                 
;;;LineString;-1.361207472751693,-5.981707331367774,-1.361143520894485,-5.981707151190757                                                                                                                                                                                    ;1;4;#ffcd00;Concorde                                  ;Tuileries                                 
;;;LineString;-1.360535904439852,-5.981425230185176,-1.360501376725141,-5.981425132883127                                                                                                                                                                                    ;11;280;#704b1c;Place des Fêtes                           ;Télégraphe                                
;;;LineString;-1.361096616603557,-5.981928288251083,-1.361126588126385,-5.981958412834628                                                                                                                                                                                    ;10;373;#c9910d;Sèvres - Babylone                         ;Vaneau                                    
;;;LineString;-1.361198223912721,-5.981938515137363,-1.361198414888737,-5.981868288126855                                                                                                                                                                                    ;13;325;#6ec4e8;Saint-François-Xavier                     ;Varenne                                   
;;;LineString;-1.361264327835803,-5.982222228125391,-1.36126460880364,-5.982163036896335                                                                                                                                                                                     ;12;301;#7852  ;Convention                                ;Vaugirard                                 
;;;LineString;-1.361153878073428,-5.982091969305854,-1.361153221784487,-5.982092775596788,-1.361152256590171,-5.982093497608405,-1.361151023147778,-5.982093874683239,-1.361150575784085,-5.982093943037229,-1.361150112199077,-5.982093965279373,-1.361066633539902,-5.98209;4;78;#cf009e;Montparnasse - Bienvenüe                  ;Vavin                                     
;;;LineString;-1.361541295583165,-5.981699423159206,-1.361521192683186,-5.981699366321752,-1.361520217155764,-5.981699297211437,-1.361519178466242,-5.981699107234089,-1.361518113852065,-5.981698806016627,-1.361517049884515,-5.981698410007286,-1.361516020751573,-5.98169;2;34;#003ca6;Porte Dauphine                            ;Victor Hugo                               
;;;LineString;-1.360793664562522,-5.982475691019676,-1.360793435778115,-5.982560912844658                                                                                                                                                                                    ;7;182;#fa9aba;Villejuif - Léo Lagrange                  ;Villejuif - Paul Vaillant-Couturier       
;;;LineString;-1.360793435778115,-5.982560912844658,-1.36079322274501,-5.982640104431735                                                                                                                                                                                     ;7;169;#fa9aba;Villejuif - Paul Vaillant-Couturier       ;Villejuif - Louis Aragon                  
;;;LineString;-1.360793909309067,-5.982385178624544,-1.360793664566787,-5.982475689496895                                                                                                                                                                                    ;7;157;#fa9aba;Le Kremlin-Bicêtre                        ;Villejuif - Léo Lagrange                  
;;;LineString;-1.361430049398655,-5.981401439715992,-1.361393453936429,-5.981437877024018                                                                                                                                                                                    ;3;52;#837902;Malesherbes                               ;Villiers                                  
;;;LineString;-1.361427306988371,-5.981479013657945,-1.361427313994288,-5.981476519716978,-1.361427250958781,-5.981475541514992,-1.361427066795265,-5.981474502044962,-1.361426773205871,-5.981473431797311,-1.361426383778994,-5.981472366597653,-1.36142591213084,-5.981471;2;37;#003ca6;Monceau                                   ;Villiers                                  
;;;LineString;-1.36126460880364,-5.982163036896335,-1.36126468358256,-5.982135852396945                                                                                                                                                                                      ;12;294;#7852  ;Vaugirard                                 ;Volontaires                               
;;;LineString;-1.360709121117301,-5.981654357430286,-1.360682425753425,-5.981680935331791                                                                                                                                                                                    ;9;221;#b6bd00;Saint-Ambroise                            ;Voltaire                                  
;;;LineString;-1.361550772566527,-5.9813589027908,-1.361477530207068,-5.981358696141442,-1.361475514935638,-5.981358944523118,-1.361474447504067,-5.981359238330344,-1.361473380943685,-5.981359628076534,-1.361472349134059,-5.981360100536833,-1.361471384432688,-5.9813606;3;51;#837902;Pereire                                   ;Wagram                                    
