latitude;longitude;altitude;geometry;coordinates;line;sectionId;color;origin;destination
;;;LineString;-1.360794291350977,-5.982243474432801,-1.360791758190968,-5.982243456728837,-1.360769251339592,-5.982265859014302                                                                                                                                              ;7;166;#fa9aba;Maison Blanche                            ;Porte d'Italie                            
;;;LineString;-1.360707715977963,-5.982275468643487,-1.360648119088487,-5.982275311553846,-1.360646825745242,-5.982275354971439                                                                                                                                              ;7;171;#fa9aba;Porte de Choisy                           ;Porte d'Ivry                              
;;;LineString;-1.360987051628031,-5.982212872921497,-1.360986942198983,-5.982240787087524,-1.360986958347752,-5.982241266049542,-1.36098700562001,-5.982241765279737,-1.360987082509712,-5.982242279443924,-1.360987188265978,-5.982242805113648,-1.360987322517097,-5.982243;4;92;#cf009e;Alésia                                    ;Porte d'Orléans                           
;;;LineString;-1.360515232111521,-5.981589130430504,-1.360464903647684,-5.981588989167095                                                                                                                                                                                    ;3;56;#837902;Gambetta                                  ;Porte de Bagnolet                         
;;;LineString;-1.361679160693422,-5.981284692627287,-1.361607688846647,-5.981355852932707,-1.361606081831086,-5.981357095758446,-1.3616051159881,-5.981357638079151,-1.361604084174539,-5.981358111679769,-1.361603019134591,-5.981358501428677,-1.361601951702629,-5.9813587;3;63;#837902;"Louise Michel	                            ";Porte de Champerret                       
;;;LineString;-1.360472479692983,-5.982021888753402,-1.360472390792947,-5.98205462687265,-1.360472394025148,-5.982069514395792                                                                                                                                               ;8;202;#e19bdf;Porte Dorée                               ;Porte de Charenton                        
;;;LineString;-1.360769251339592,-5.982265859014302,-1.360762681731113,-5.982272402564196,-1.36076233061031,-5.982272728552266,-1.360761943391883,-5.982273045297896,-1.36076152274287,-5.982273350905362,-1.360761074750381,-5.982273644250456,-1.360760601701213,-5.9822739;7;177;#fa9aba;Porte d'Italie                            ;Porte de Choisy                           
;;;LineString;-1.361382644438572,-5.981238489335386,-1.361452112965404,-5.981169321416572                                                                                                                                                                                    ;13;327;#6ec4e8;Brochant                                  ;Porte de Clichy                           
;;;LineString;-1.360498511065396,-5.981079375394313,-1.360588280437148,-5.981169746189141                                                                                                                                                                                    ;7;176;#fa9aba;Aubervilliers - Pantin - Quatre Chemins   ;Porte de la Villette                      
;;;LineString;-1.360490702077415,-5.981771306975901,-1.360464533890905,-5.981743487755131,-1.360462681746849,-5.981741972864914                                                                                                                                              ;9;252;#b6bd00;Maraîchers                                ;Porte de Montreuil                        
