service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
3545760,0,0,0,0,0,0,0,20210606,20210919
13412876,0,0,0,0,0,0,0,20210418,20210919
3545764,0,0,0,0,0,0,0,20210802,20210819
3545761,0,0,0,0,0,0,0,20210701,20210831
13412874,0,0,0,0,0,0,0,20210424,20210918
3545762,0,0,0,0,0,0,0,20210324,20210922
13545764,0,0,0,0,0,0,0,20210803,20210820
3412876,0,0,0,0,0,0,0,20210417,20210918
13545762,0,0,0,0,0,0,0,20210325,20210923
3412874,0,0,0,0,0,0,0,20210423,20210917
13545761,0,0,0,0,0,0,0,20210702,20210901
3545759,0,0,0,0,0,0,0,20210418,20210530
3545758,0,0,0,0,0,0,0,20210501,20210523
13545760,0,0,0,0,0,0,0,20210607,20210920
13545758,0,0,0,0,0,0,0,20210502,20210524
13545759,0,0,0,0,0,0,0,20210419,20210531
