Geo Point;Geo Shape;IDREFLIGA;IDREFLIGC;LIGNE;MODE_;FOURCHE
-5.98179665231,-1.36072591842;"{""type"": ""LineString"", ""coordinates"": [[-1.360749020676382, -5.981767717030479, 0.0], [-1.360721413023647, -5.98179246943124, 0.0], [-1.360718953786815, -5.98179594288581, 0.0], [-1.360717784597246, -5.981800033731527, 0.0], [-1.36071602527387, -5.981831965287592, 0.0]]}";A01534;C01371;1;METRO;0
-5.98145506358,-1.36191008072;"{""type"": ""LineString"", ""coordinates"": [[-1.361926878699481, -5.981449144414828, 0.0], [-1.361893282732786, -5.981460982751047, 0.0]]}";A01534;C01371;1;METRO;0
-5.98147804622,-1.36184486633;"{""type"": ""LineString"", ""coordinates"": [[-1.361893282732786, -5.981460982751047, 0.0], [-1.361796449923923, -5.981495109688467, 0.0]]}";A01534;C01371;1;METRO;0
-5.98171797776,-1.36131155932;"{""type"": ""LineString"", ""coordinates"": [[-1.361341666211697, -5.9817015763788, 0.0], [-1.361319364109626, -5.981720872602024, 0.0], [-1.361315609812532, -5.981722894887224, 0.0], [-1.361311402100374, -5.981723590386482, 0.0], [-1.361277158173531, -5.981721698652072, 0.0]]}";A01534;C01371;1;METRO;0
-5.98171604843,-1.36117483459;"{""type"": ""LineString"", ""coordinates"": [[-1.361206761980655, -5.981717811883086, 0.0], [-1.361142907196981, -5.981714284971393, 0.0]]}";A01534;C01371;1;METRO;0
-5.98171265528,-1.36111339943;"{""type"": ""LineString"", ""coordinates"": [[-1.361142907196981, -5.981714284971393, 0.0], [-1.361083891670078, -5.981711025590659, 0.0]]}";A01534;C01371;1;METRO;0
-5.98170918744,-1.36085317546;"{""type"": ""LineString"", ""coordinates"": [[-1.360868756285275, -5.98169914906538, 0.0], [-1.36086456399895, -5.981699861837353, 0.0], [-1.360860844590108, -5.981701928397261, 0.0], [-1.360838872219219, -5.981721628091912, 0.0]]}";A01534;C01371;1;METRO;0
-5.98184234661,-1.36059763574;"{""type"": ""LineString"", ""coordinates"": [[-1.360627482034848, -5.98184398969631, 0.0], [-1.360567789450301, -5.981840703525942, 0.0]]}";A01534;C01371;1;METRO;0
-5.98185713761,-1.36025322147;"{""type"": ""LineString"", ""coordinates"": [[-1.360276578937109, -5.981858437672479, 0.0], [-1.360229864011637, -5.981855837551725, 0.0]]}";A01534;C01371;1;METRO;0
-5.98171975527,-1.36124196008;"{""type"": ""LineString"", ""coordinates"": [[-1.361277158173531, -5.981721698652072, 0.0], [-1.361206761980655, -5.981717811883086, 0.0]]}";A01534;C01371;1;METRO;0
-5.98175201206,-1.36079684718;"{""type"": ""LineString"", ""coordinates"": [[-1.360838872219219, -5.981721628091912, 0.0], [-1.360792411431324, -5.981763281892263, 0.0], [-1.360788696159847, -5.981765342581898, 0.0], [-1.360784500165038, -5.981766053626869, 0.0], [-1.360757361400667, -5.981764554230379, 0.0], [-1.360753168000802, -5.981765266564478, 0.0], [-1.360749447374992, -5.981767334585088, 0.0], [-1.360749020676382, -5.981767717030479, 0.0]]}";A01534;C01371;1;METRO;0
-5.98184533996,-1.36067764676;"{""type"": ""LineString"", ""coordinates"": [[-1.36071602527387, -5.981831965287592, 0.0], [-1.360715346510974, -5.981844278855815, 0.0], [-1.360713838381722, -5.981847411088062, 0.0], [-1.360710568676125, -5.981848568407499, 0.0], [-1.360697897609927, -5.98184786824911, 0.0], [-1.360627482034848, -5.98184398969631, 0.0]]}";A01534;C01371;1;METRO;0
-5.9818450075,-1.3603898203;"{""type"": ""LineString"", ""coordinates"": [[-1.36045449699314, -5.981834464700497, 0.0], [-1.360398616314517, -5.981831388479256, 0.0], [-1.360396149181785, -5.98183211515552, 0.0], [-1.360362606566056, -5.98186218401901, 0.0], [-1.360360305473006, -5.981863062483125, 0.0], [-1.360327076813223, -5.98186122735026, 0.0]]}";A01534;C01371;1;METRO;0
-5.98151555941,-1.36173842313;"{""type"": ""LineString"", ""coordinates"": [[-1.361796449923923, -5.981495109688467, 0.0], [-1.36168039632638, -5.981536009130623, 0.0]]}";A01534;C01371;1;METRO;0
-5.98155015534,-1.36164025869;"{""type"": ""LineString"", ""coordinates"": [[-1.36168039632638, -5.981536009130623, 0.0], [-1.361600121048015, -5.981564301545829, 0.0]]}";A01534;C01371;1;METRO;0
-5.98161113353,-1.3614672927;"{""type"": ""LineString"", ""coordinates"": [[-1.361503964692529, -5.981598190177645, 0.0], [-1.361436013073899, -5.981622139659692, 0.0], [-1.361430782178251, -5.981624481310456, 0.0]]}";A01534;C01371;1;METRO;0
-5.98164735484,-1.36140433958;"{""type"": ""LineString"", ""coordinates"": [[-1.361430782178251, -5.981624481310456, 0.0], [-1.361377896978577, -5.981670228367321, 0.0]]}";A01534;C01371;1;METRO;0
-5.98170712334,-1.36101319871;"{""type"": ""LineString"", ""coordinates"": [[-1.361039803124305, -5.981708592857752, 0.0], [-1.360986594286839, -5.981705653812575, 0.0]]}";A01534;C01371;1;METRO;0
-5.98183758411,-1.36051114322;"{""type"": ""LineString"", ""coordinates"": [[-1.360567789450301, -5.981840703525942, 0.0], [-1.36045449699314, -5.981834464700497, 0.0]]}";A01534;C01371;1;METRO;0
-5.98185983251,-1.36030182788;"{""type"": ""LineString"", ""coordinates"": [[-1.360327076813223, -5.98186122735026, 0.0], [-1.360276578937109, -5.981858437672479, 0.0]]}";A01534;C01371;1;METRO;0
-5.98158124586,-1.36155204287;"{""type"": ""LineString"", ""coordinates"": [[-1.361600121048015, -5.981564301545829, 0.0], [-1.361503964692529, -5.981598190177645, 0.0]]}";A01534;C01371;1;METRO;0
-5.98168590237,-1.3613597816;"{""type"": ""LineString"", ""coordinates"": [[-1.361377896978577, -5.981670228367321, 0.0], [-1.361341666211697, -5.9817015763788, 0.0]]}";A01534;C01371;1;METRO;0
-5.98170980922,-1.3610618474;"{""type"": ""LineString"", ""coordinates"": [[-1.361083891670078, -5.981711025590659, 0.0], [-1.361039803124305, -5.981708592857752, 0.0]]}";A01534;C01371;1;METRO;0
-5.98097299181,-1.36141478174;"{""type"": ""LineString"", ""coordinates"": [[-1.361419925143527, -5.98087789992122, 0.0], [-1.361409638330983, -5.98106808369563, 0.0]]}";A01840;C01727;C;RER;0
-5.98162415263,-1.36238179058;"{""type"": ""LineString"", ""coordinates"": [[-1.362429333964683, -5.981626780057689, 0.0], [-1.362334247203687, -5.981621525197673, 0.0]]}";A01856;C01742;A;RER;0
-5.98270281201,-1.36211768137;"{""type"": ""LineString"", ""coordinates"": [[-1.362190768684958, -5.98270684878554, 0.0], [-1.362056026581192, -5.982699407892722, 0.0], [-1.362045730068805, -5.982698825256795, 0.0], [-1.362044595653099, -5.982698748220211, 0.0]]}";A02176;C01740;L;TRAIN;0
-5.98278669172,-1.35907525476;"{""type"": ""LineString"", ""coordinates"": [[-1.359078197192442, -5.982732160927616, 0.0], [-1.359072312323804, -5.982841222512211, 0.0]]}";A01844;C01730;P;TRAIN;0
-5.9822874821,-1.3627347149;"{""type"": ""LineString"", ""coordinates"": [[-1.362769295976542, -5.98223585401597, 0.0], [-1.362768734577562, -5.982237523424341, 0.0], [-1.36276815341336, -5.982239185256516, 0.0], [-1.362767553052584, -5.982240836112507, 0.0], [-1.362766933495237, -5.98224247599229, 0.0], [-1.362766293012678, -5.982244108612928, 0.0], [-1.362765635695529, -5.982245728863028, 0.0], [-1.362764959055822, -5.982247340417604, 0.0], [-1.362764261763884, -5.982248939771561, 0.0], [-1.362763547490368, -5.982250529415807, 0.0], [-1.362762813640623, -5.982252108062813, 0.0], [-1.362762062049975, -5.982253676958074, 0.0], [-1.36276129204309, -5.982255234539057, 0.0], [-1.362760504041627, -5.982256780066591, 0.0], [-1.3627596979196, -5.98225831582135, 0.0], [-1.362758873802999, -5.98225983952262, 0.0], [-1.362758033906814, -5.982261352436938, 0.0], [-1.362757174898062, -5.982262852854602, 0.0], [-1.362756296713746, -5.982264341915967, 0.0], [-1.362755404014833, -5.98226581797272, 0.0], [-1.362754493258353, -5.982267283116391, 0.0], [-1.362753564148636, -5.982268735805455, 0.0], [-1.362752621157661, -5.982270177812677, 0.0], [-1.362751658800446, -5.982271605021516, 0.0], [-1.362750681865641, -5.982273020366149, 0.0], [-1.362749687336929, -5.982274423298221, 0.0], [-1.362748678251626, -5.982275813985947, 0.0], [-1.362747651297742, -5.982277190339548, 0.0], [-1.362746610229927, -5.982278553329465, 0.0], [-1.362745551188542, -5.982279903885816, 0.0], [-1.36274447765356, -5.982281241057503, 0.0], [-1.362743388781662, -5.982282566322924, 0.0], [-1.362742285605151, -5.982283874782599, 0.0], [-1.362741165910734, -5.982285172033173, 0.0], [-1.362740030330055, -5.982286453534263, 0.0], [-1.362738881015108, -5.982287721692748, 0.0], [-1.362737717269559, -5.982288975326211, 0.0], [-1.362736537132096, -5.982290215469875, 0.0], [-1.362735346044004, -5.982291440137353, 0.0], [-1.362734137487997, -5.982292650111636, 0.0], [-1.362732916020046, -5.982293845645017, 0.0], [-1.362731681661151, -5.982295026357344, 0.0], [-1.362730431774657, -5.982296191721359, 0.0], [-1.362729167478561, -5.982297342180262, 0.0], [-1.362691014844778, -5.982332445973554, 0.0]]}";A01847;C01736;N;TRAIN;0
