route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
323511,87284,10000872840081808,4102,4102,0,
323511,87284,1000872840081808,4102,4102,0,
323511,87284,100872840081808,4102,4102,0,
323511,87284,10100872840081808,4102,4102,0,
323511,87284,10200872840081808,4102,4102,0,
323511,87284,10300872840081808,4102,4102,0,
323511,87284,10400872840081808,4102,4102,0,
323511,87284,10500872840081808,4102,4102,0,
323511,87284,10600872840081808,4102,4102,0,
323511,87284,10700872840081808,4102,4102,0,
323511,87284,10800872840081808,4102,4102,0,
323511,87284,10900872840081808,4102,4102,0,
323511,87284,11000872840081808,4102,4102,0,
323511,87284,1100872840081808,4102,4102,0,
323511,87284,11100872840081808,4102,4102,0,
323511,87284,11200872840081808,4102,4102,0,
323511,87284,11300872840081808,4102,4102,0,
323511,87284,11400872840081808,4102,4102,0,
323511,87284,11500872840081808,4102,4102,0,
323511,87284,11600872840081808,4102,4102,0,
323511,87284,11700872840081808,4102,4102,0,
323511,87284,11800872840081808,4102,4102,0,
323511,87284,11900872840081808,4102,4102,0,
323511,87284,12000872840081808,4102,4102,0,
323511,87284,1200872840081808,4102,4102,0,
323511,87284,12100872840081808,4102,4102,0,
323511,87284,12200872840081808,4102,4102,0,
323511,87284,12300872840081808,4102,4102,0,
323511,87284,12400872840081808,4102,4102,0,
323511,87284,12500872840081808,4102,4102,0,
323511,87284,12600872840081808,4102,4102,0,
323511,87284,12700872840081808,4102,4102,0,
323511,87284,12800872840081808,4102,4102,0,
323511,87284,12900872840081808,4102,4102,0,
323511,87284,13000872840081808,4102,4102,0,
323511,87284,1300872840081808,4102,4102,0,
323511,87284,13100872840081808,4102,4102,0,
323511,87284,13200872840081808,4102,4102,0,
323511,87284,13300872840081808,4102,4102,0,
323511,87284,13400872840081808,4102,4102,0,
323511,87284,13500872840081808,4102,4102,0,
323511,87284,13600872840081808,4102,4102,0,
323511,87284,13700872840081808,4102,4102,0,
323511,87284,13800872840081808,4102,4102,0,
323511,87284,13900872840081808,4102,4102,0,
323511,87284,14000872840081808,4102,4102,0,
323511,87284,1400872840081808,4102,4102,0,
323511,87284,14100872840081808,4102,4102,0,
323511,87284,14200872840081808,4102,4102,0,
323511,87284,14300872840081808,4102,4102,0,
