service_id,date,exception_type
87284,20210324,1
87284,20210325,1
87284,20210326,1
87284,20210329,1
87284,20210330,1
87284,20210331,1
87284,20210401,1
87284,20210402,1
87284,20210406,1
87284,20210407,1
87284,20210408,1
87284,20210409,1
87284,20210412,1
87284,20210413,1
87284,20210414,1
87284,20210415,1
87284,20210416,1
87284,20210419,1
87284,20210420,1
87284,20210421,1
87284,20210422,1
87284,20210423,1
87284,20210426,1
87284,20210427,1
87284,20210428,1
87284,20210429,1
87284,20210430,1
87284,20210503,1
87284,20210504,1
87284,20210505,1
87284,20210506,1
87284,20210507,1
87284,20210510,1
87284,20210511,1
87284,20210512,1
87284,20210514,1
87284,20210517,1
87284,20210518,1
87284,20210519,1
87284,20210520,1
87284,20210521,1
87284,20210525,1
87284,20210526,1
87284,20210527,1
87284,20210528,1
87284,20210531,1
87284,20210601,1
87284,20210602,1
87284,20210603,1
87284,20210604,1
87284,20210607,1
87284,20210608,1
87284,20210609,1
87284,20210610,1
87284,20210611,1
87284,20210614,1
87284,20210615,1
87284,20210616,1
87284,20210617,1
87284,20210618,1
87284,20210621,1
87284,20210622,1
87284,20210623,1
87284,20210624,1
87284,20210625,1
87284,20210628,1
87284,20210629,1
87284,20210630,1
87284,20210701,1
87284,20210702,1
87284,20210705,1
87284,20210706,1
87284,20210707,1
87284,20210708,1
87284,20210709,1
87284,20210712,1
87284,20210713,1
87284,20210715,1
87284,20210716,1
87284,20210719,1
87284,20210720,1
87284,20210721,1
87284,20210722,1
87284,20210723,1
87284,20210726,1
87284,20210727,1
87284,20210728,1
87284,20210729,1
87284,20210730,1
87284,20210802,1
87284,20210803,1
87284,20210804,1
87284,20210805,1
87284,20210806,1
87284,20210809,1
87284,20210810,1
87284,20210811,1
87284,20210812,1
87284,20210813,1
87284,20210816,1
87284,20210817,1
87284,20210818,1
87284,20210819,1
87284,20210820,1
87284,20210823,1
87284,20210824,1
87284,20210825,1
87284,20210826,1
87284,20210827,1
87284,20210830,1
87284,20210831,1
87284,20210901,1
87284,20210902,1
87284,20210903,1
87284,20210906,1
87284,20210907,1
87284,20210908,1
87284,20210909,1
87284,20210910,1
87284,20210913,1
87284,20210914,1
87284,20210915,1
87284,20210916,1
87284,20210917,1
87284,20210920,1
87284,20210921,1
87284,20210922,1
394015,20210327,1
394015,20210403,1
394015,20210410,1
394015,20210417,1
394015,20210424,1
394015,20210515,1
394015,20210522,1
394015,20210529,1
394015,20210605,1
394015,20210612,1
394015,20210619,1
394015,20210626,1
394015,20210703,1
394015,20210710,1
394015,20210717,1
394015,20210724,1
394015,20210731,1
394015,20210807,1
394015,20210814,1
394015,20210821,1
394015,20210828,1
394015,20210904,1
394015,20210911,1
394015,20210918,1
1388795,20210329,1
1388795,20210405,1
1388795,20210406,1
1388795,20210412,1
1388795,20210419,1
1388795,20210426,1
1388795,20210502,1
1388795,20210503,1
1388795,20210509,1
1388795,20210510,1
1388795,20210514,1
1388795,20210517,1
1388795,20210524,1
1388795,20210525,1
1388795,20210531,1
1388795,20210607,1
1388795,20210614,1
1388795,20210621,1
1388795,20210628,1
1388795,20210705,1
1388795,20210712,1
1388795,20210715,1
1388795,20210719,1
1388795,20210726,1
1388795,20210802,1
1388795,20210809,1
1388795,20210816,1
1388795,20210823,1
1388795,20210830,1
1388795,20210906,1
1388795,20210913,1
1388795,20210920,1
187284,20210325,1
187284,20210326,1
187284,20210327,1
187284,20210330,1
187284,20210331,1
187284,20210401,1
187284,20210402,1
187284,20210403,1
187284,20210407,1
187284,20210408,1
187284,20210409,1
187284,20210410,1
187284,20210413,1
187284,20210414,1
187284,20210415,1
187284,20210416,1
187284,20210417,1
187284,20210420,1
187284,20210421,1
187284,20210422,1
187284,20210423,1
187284,20210424,1
187284,20210427,1
187284,20210428,1
187284,20210429,1
187284,20210430,1
187284,20210501,1
187284,20210504,1
187284,20210505,1
187284,20210506,1
187284,20210507,1
187284,20210508,1
187284,20210511,1
187284,20210512,1
187284,20210513,1
187284,20210515,1
187284,20210518,1
187284,20210519,1
187284,20210520,1
187284,20210521,1
187284,20210522,1
187284,20210526,1
187284,20210527,1
187284,20210528,1
187284,20210529,1
187284,20210601,1
187284,20210602,1
187284,20210603,1
187284,20210604,1
187284,20210605,1
187284,20210608,1
187284,20210609,1
187284,20210610,1
187284,20210611,1
187284,20210612,1
187284,20210615,1
187284,20210616,1
187284,20210617,1
187284,20210618,1
187284,20210619,1
187284,20210622,1
187284,20210623,1
187284,20210624,1
187284,20210625,1
187284,20210626,1
187284,20210629,1
187284,20210630,1
187284,20210701,1
187284,20210702,1
187284,20210703,1
187284,20210706,1
187284,20210707,1
187284,20210708,1
187284,20210709,1
187284,20210710,1
187284,20210713,1
187284,20210714,1
187284,20210716,1
187284,20210717,1
187284,20210720,1
187284,20210721,1
187284,20210722,1
187284,20210723,1
187284,20210724,1
187284,20210727,1
187284,20210728,1
187284,20210729,1
187284,20210730,1
187284,20210731,1
187284,20210803,1
187284,20210804,1
187284,20210805,1
187284,20210806,1
187284,20210807,1
187284,20210810,1
187284,20210811,1
187284,20210812,1
187284,20210813,1
187284,20210814,1
187284,20210817,1
187284,20210818,1
187284,20210819,1
187284,20210820,1
187284,20210821,1
187284,20210824,1
187284,20210825,1
187284,20210826,1
187284,20210827,1
187284,20210828,1
187284,20210831,1
187284,20210901,1
187284,20210902,1
187284,20210903,1
187284,20210904,1
187284,20210907,1
187284,20210908,1
187284,20210909,1
187284,20210910,1
187284,20210911,1
187284,20210914,1
187284,20210915,1
187284,20210916,1
187284,20210917,1
187284,20210918,1
187284,20210921,1
187284,20210922,1
187284,20210923,1
1394015,20210328,1
1394015,20210404,1
1394015,20210411,1
1394015,20210418,1
1394015,20210425,1
1394015,20210516,1
1394015,20210523,1
1394015,20210530,1
1394015,20210606,1
1394015,20210613,1
1394015,20210620,1
1394015,20210627,1
1394015,20210704,1
1394015,20210711,1
1394015,20210718,1
1394015,20210725,1
1394015,20210801,1
1394015,20210808,1
1394015,20210815,1
1394015,20210822,1
1394015,20210829,1
1394015,20210905,1
1394015,20210912,1
1394015,20210919,1
388795,20210328,1
388795,20210404,1
388795,20210405,1
388795,20210411,1
388795,20210418,1
388795,20210425,1
388795,20210501,1
388795,20210502,1
388795,20210508,1
388795,20210509,1
388795,20210513,1
388795,20210516,1
388795,20210523,1
388795,20210524,1
388795,20210530,1
388795,20210606,1
388795,20210613,1
388795,20210620,1
388795,20210627,1
388795,20210704,1
388795,20210711,1
388795,20210714,1
388795,20210718,1
388795,20210725,1
388795,20210801,1
388795,20210808,1
388795,20210815,1
388795,20210822,1
388795,20210829,1
388795,20210905,1
388795,20210912,1
388795,20210919,1
