trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,shape_dist_traveled
10035580412474587,11:36:00,11:36:00,9195883,1,,
10035580412474587,11:38:00,11:38:00,9195885,2,,
10035580412474587,11:40:00,11:40:00,9295910,3,,
10035580412474587,11:42:00,11:42:00,9195887,4,,
10035580412474587,11:44:00,11:44:00,1166840,5,,
10035580412474587,11:46:00,11:46:00,1166838,6,,
10035580412474587,11:48:00,11:48:00,6129304,7,,
10035580412474587,11:50:00,11:50:00,1166834,8,,
10035580412474587,11:53:00,11:53:00,1166832,9,,
10035580412474587,11:55:00,11:55:00,1166830,10,,
10035580412474587,11:56:00,11:56:00,1166828,11,,
10035580412474587,11:58:00,11:58:00,1166826,12,,
10035580412474587,12:00:00,12:00:00,1166824,13,,
10035580432474587,09:11:00,09:11:00,9195883,1,,
10035580432474587,09:12:00,09:12:00,9195885,2,,
10035580432474587,09:15:00,09:15:00,9295910,3,,
10035580432474587,09:16:00,09:16:00,9195887,4,,
10035580432474587,09:18:00,09:18:00,1166840,5,,
10035580432474587,09:20:00,09:20:00,1166838,6,,
10035580432474587,09:21:00,09:21:00,6129304,7,,
10035580432474587,09:23:00,09:23:00,1166834,8,,
10035580432474587,09:26:00,09:26:00,1166832,9,,
10035580432474587,09:28:00,09:28:00,1166830,10,,
10035580432474587,09:29:00,09:29:00,1166828,11,,
10035580432474587,09:31:00,09:31:00,1166826,12,,
10035580432474587,09:33:00,09:33:00,1166824,13,,
10035580442474587,09:17:00,09:17:00,9195883,1,,
10035580442474587,09:19:00,09:19:00,9195885,2,,
10035580442474587,09:21:00,09:21:00,9295910,3,,
10035580442474587,09:22:00,09:22:00,9195887,4,,
10035580442474587,09:25:00,09:25:00,1166840,5,,
10035580442474587,09:26:00,09:26:00,1166838,6,,
10035580442474587,09:28:00,09:28:00,6129304,7,,
10035580442474587,09:30:00,09:30:00,1166834,8,,
10035580442474587,09:33:00,09:33:00,1166832,9,,
10035580442474587,09:34:00,09:34:00,1166830,10,,
10035580442474587,09:36:00,09:36:00,1166828,11,,
10035580442474587,09:37:00,09:37:00,1166826,12,,
10035580442474587,09:39:00,09:39:00,1166824,13,,
10035580472474587,11:36:00,11:36:00,9195883,1,,
10035580472474587,11:38:00,11:38:00,9195885,2,,
10035580472474587,11:40:00,11:40:00,9295910,3,,
10035580472474587,11:42:00,11:42:00,9195887,4,,
10035580472474587,11:44:00,11:44:00,1166840,5,,
10035580472474587,11:46:00,11:46:00,1166838,6,,
10035580472474587,11:48:00,11:48:00,6129304,7,,
10035580472474587,11:50:00,11:50:00,1166834,8,,
10035580472474587,11:53:00,11:53:00,1166832,9,,
10035580472474587,11:55:00,11:55:00,1166830,10,,
10035580472474587,11:56:00,11:56:00,1166828,11,,
10035580472474587,11:58:00,11:58:00,1166826,12,,
10035580472474587,12:00:00,12:00:00,1166824,13,,
10035580482474587,09:11:00,09:11:00,9195883,1,,
10035580482474587,09:12:00,09:12:00,9195885,2,,
10035580482474587,09:15:00,09:15:00,9295910,3,,
10035580482474587,09:16:00,09:16:00,9195887,4,,
10035580482474587,09:18:00,09:18:00,1166840,5,,
10035580482474587,09:20:00,09:20:00,1166838,6,,
10035580482474587,09:21:00,09:21:00,6129304,7,,
10035580482474587,09:23:00,09:23:00,1166834,8,,
10035580482474587,09:26:00,09:26:00,1166832,9,,
10035580482474587,09:28:00,09:28:00,1166830,10,,
10035580482474587,09:29:00,09:29:00,1166828,11,,
10035580482474587,09:31:00,09:31:00,1166826,12,,
10035580482474587,09:33:00,09:33:00,1166824,13,,
10035580492474587,09:22:00,09:22:00,9195883,1,,
10035580492474587,09:23:00,09:23:00,9195885,2,,
10035580492474587,09:26:00,09:26:00,9295910,3,,
10035580492474587,09:27:00,09:27:00,9195887,4,,
10035580492474587,09:29:00,09:29:00,1166840,5,,
10035580492474587,09:31:00,09:31:00,1166838,6,,
10035580492474587,09:32:00,09:32:00,6129304,7,,
10035580492474587,09:34:00,09:34:00,1166834,8,,
10035580492474587,09:37:00,09:37:00,1166832,9,,
10035580492474587,09:39:00,09:39:00,1166830,10,,
10035580492474587,09:40:00,09:40:00,1166828,11,,
10035580492474587,09:42:00,09:42:00,1166826,12,,
10035580492474587,09:44:00,09:44:00,1166824,13,,
10135580412474587,11:39:00,11:39:00,9195883,1,,
10135580412474587,11:41:00,11:41:00,9195885,2,,
10135580412474587,11:44:00,11:44:00,9295910,3,,
10135580412474587,11:45:00,11:45:00,9195887,4,,
10135580412474587,11:48:00,11:48:00,1166840,5,,
10135580412474587,11:50:00,11:50:00,1166838,6,,
10135580412474587,11:51:00,11:51:00,6129304,7,,
10135580412474587,11:53:00,11:53:00,1166834,8,,
10135580412474587,11:57:00,11:57:00,1166832,9,,
10135580412474587,11:58:00,11:58:00,1166830,10,,
10135580412474587,12:00:00,12:00:00,1166828,11,,
10135580412474587,12:02:00,12:02:00,1166826,12,,
10135580412474587,12:04:00,12:04:00,1166824,13,,
10135580432474587,09:12:00,09:12:00,9195883,1,,
10135580432474587,09:14:00,09:14:00,9195885,2,,
10135580432474587,09:16:00,09:16:00,9295910,3,,
10135580432474587,09:17:00,09:17:00,9195887,4,,
10135580432474587,09:20:00,09:20:00,1166840,5,,
10135580432474587,09:21:00,09:21:00,1166838,6,,
10135580432474587,09:23:00,09:23:00,6129304,7,,
