service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
3558044,0,0,0,0,0,0,0,20210601,20210922
13558044,0,0,0,0,0,0,0,20210602,20210923
13558043,0,0,0,0,0,0,0,20210504,20210601
3558047,0,0,0,0,0,0,0,20210417,20210918
3558048,0,0,0,0,0,0,0,20210423,20210917
13558041,0,0,0,0,0,0,0,20210419,20210920
3558049,0,0,0,0,0,0,0,20210324,20210819
13558049,0,0,0,0,0,0,0,20210325,20210820
3558041,0,0,0,0,0,0,0,20210418,20210919
13558047,0,0,0,0,0,0,0,20210418,20210919
13558048,0,0,0,0,0,0,0,20210424,20210918
3558043,0,0,0,0,0,0,0,20210503,20210531
