from_stop_id,to_stop_id,transfer_type,min_transfer_time
2287,9417090,2,218
1759,1956,2,600
1793,7920966,2,226
4037259,2521,2,282
1793,7920965,2,269
1951,3926338,2,208
7899456,2377,2,217
2072,7170691,2,212
2377,1647,2,130
2550,8926254,2,194
1958,2235,2,420
7899418,2310,2,235
1746,5747220,2,206
1675,1674,2,111
2126,2213,2,137
1746,5747219,2,206
2126,1958,2,97
2077,2213,2,134
7176293,2206,2,197
1746,4036966,2,206
1746,4036967,2,206
2072,9048725,2,194
2294,7931520,2,234
2287,9417089,2,244
2287,9417086,2,202
2076,4036979,2,193
2076,4036978,2,199
2112,7921126,2,241
2112,7921125,2,209
1675,1676,2,110
1793,7946204,2,242
1793,7920963,2,209
1793,7946205,2,222
1793,7920964,2,209
2377,967988,2,180
7899528,2297,2,205
2377,967989,2,180
7899456,1767,2,217
2550,8926314,2,194
2076,7945891,2,210
2076,4037048,2,254
2125,4035731,2,223
2125,4035730,2,223
2125,8007358,2,188
2125,8007357,2,223
2063,2111,2,100
1891,4035564,2,218
3731630,2287,2,193
1951,7920836,2,263
2112,4044994,2,217
7931499,1951,2,208
2076,8985252,2,193
1901,4035818,2,243
2112,4044993,2,209
2076,8985253,2,254
1891,5747217,2,193
2424,4036967,2,206
1891,5747218,2,202
7899415,1767,2,256
2424,4036966,2,206
7946087,2125,2,199
2213,5018143,2,282
1767,7931568,2,217
7946080,2485,2,196
1675,7991824,2,402
1951,7920837,2,263
1675,7991823,2,268
2310,2311,2,110
1951,7920975,2,279
1898,7931520,2,234
3343778,1767,2,180
2206,7920975,2,279
7899555,1675,2,220
1932,4035546,2,197
3343786,2112,2,180
1932,4035547,2,207
9296157,2206,2,243
2206,8321656,2,243
7946078,2485,2,387
7899555,2485,2,220
2125,7931571,2,199
2112,4037189,2,209
2112,4037187,2,195
2112,4037188,2,191
2294,4044989,2,234
1843,7899591,2,243
2089,8926314,2,194
4471839,2403,2,226
2076,4035730,2,223
2076,4035731,2,223
8926082,2550,2,198
2213,1910,2,420
2136,3926305,2,264
2206,3887817,2,243
2424,7647712,2,416
