service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
3545812,0,0,0,0,0,0,0,20210606,20210919
3412891,0,0,0,0,0,0,0,20210423,20210917
3545814,0,0,0,0,0,0,0,20210501,20210509
3412893,0,0,0,0,0,0,0,20210417,20210918
3545813,0,0,0,0,0,0,0,20210418,20210530
3545816,0,0,0,0,0,0,0,20210324,20210922
3545815,0,0,0,0,0,0,0,20210523,20210714
13545814,0,0,0,0,0,0,0,20210502,20210510
3545817,0,0,0,0,0,0,0,20210802,20210831
13545815,0,0,0,0,0,0,0,20210524,20210715
13545812,0,0,0,0,0,0,0,20210607,20210920
3545819,0,0,0,0,0,0,0,20210701,20210729
13545813,0,0,0,0,0,0,0,20210419,20210531
13545819,0,0,0,0,0,0,0,20210702,20210730
13412893,0,0,0,0,0,0,0,20210418,20210919
13545816,0,0,0,0,0,0,0,20210325,20210923
13412891,0,0,0,0,0,0,0,20210424,20210918
13545817,0,0,0,0,0,0,0,20210803,20210901
