from_stop_id,to_stop_id,transfer_type,min_transfer_time
1984,7275655,2,209
1750,9417114,2,275
1750,9417113,2,259
8321641,2101,2,211
1750,9417119,2,202
2477,5138183,2,226
1723,7931972,2,226
1723,7931973,2,252
7920949,2365,2,252
6408760,1870,2,207
4037294,2526,2,238
9295934,2052,2,223
2512,4037035,2,198
1723,1715,2,480
1826,1827,2,370
2308,7899181,2,235
4037277,1792,2,188
1826,1825,2,396
1743,7899183,2,194
7932232,1869,2,193
1743,7899184,2,210
2468,8357865,2,252
8321706,2479,2,200
2279,7931438,2,267
8961990,1886,2,184
2468,8357863,2,214
2468,8357864,2,212
8007367,1723,2,254
1723,2469,2,149
8367322,2512,2,198
1723,1724,2,141
2526,7931876,2,284
4009231,1870,2,218
1723,9128466,2,254
1723,9128468,2,215
1723,9128467,2,195
2279,7931439,2,250
7932217,1646,2,199
2428,3813507,2,190
2428,3813506,2,208
2428,4037029,2,202
7920918,1782,2,208
7920915,1826,2,434
1826,4037037,2,219
5067574,1986,2,114
3343763,1982,2,180
1782,2391,2,79
2477,7931799,2,234
2421,3750043,2,251
1723,9128470,2,226
7931918,1906,2,232
4009272,2337,2,258
8007368,2468,2,252
2421,3750045,2,244
1723,7899182,2,214
9295937,2172,2,229
2267,7931441,2,249
8961989,2282,2,251
7920943,2174,2,209
2421,4035715,2,199
2421,4035714,2,210
2336,8379519,2,186
2363,2365,2,108
7921324,1691,2,251
2267,7931440,2,186
7991682,1826,2,211
9128412,2365,2,226
7931951,2465,2,254
2337,6682606,2,253
3813041,1842,2,200
2337,6682607,2,233
3343764,2172,2,180
2282,4035721,2,184
2468,1166840,2,180
2282,4035720,2,251
2365,3887778,2,280
2468,1166841,2,180
2365,3887779,2,252
8321642,2479,2,279
7932235,1723,2,254
7932228,2052,2,259
7275133,1883,2,225
1841,7899994,2,243
1841,7899993,2,260
1826,7991676,2,278
1826,7991677,2,211
7991806,2336,2,193
2174,4037032,2,209
1906,9417182,2,234
1906,9417181,2,232
2455,7986319,2,198
2421,7945899,2,198
8321708,2052,2,223
1723,7899121,2,212
2365,3887780,2,248
8367320,2501,2,185
9295932,2052,2,211
7920944,2501,2,185
7991680,2468,2,226
8321703,1667,2,218
7932220,1667,2,194
7920909,2526,2,238
1826,3887812,2,243
7920949,1826,2,252
7932217,2526,2,199
2468,5158082,2,241
6408777,2337,2,250
2468,5158081,2,226
1883,5018150,2,245
1883,5018151,2,225
7312132,1870,2,241
8321643,1669,2,227
4037289,2052,2,211
1826,4037001,2,252
1826,4037002,2,278
1792,2401,2,108
7932226,1669,2,185
1826,4037000,2,280
1723,4036748,2,195
1826,4037004,2,440
1723,4036747,2,210
1826,4037003,2,434
2468,4459239,2,226
1723,4036749,2,226
2468,4036660,2,254
2468,4036661,2,195
2526,8917516,2,255
4022887,2172,2,222
1841,7899181,2,235
6408746,1870,2,250
7932218,1646,2,190
1691,9417125,2,224
9295936,1982,2,245
9295925,2477,2,218
7931918,2267,2,232
7899675,1982,2,214
2468,4459240,2,210
8321673,1710,2,244
1842,7922557,2,200
1750,4037029,2,202
2468,5158083,2,216
6408763,1870,2,262
2468,3749690,2,210
2468,3749691,2,252
3741069,2421,2,230
1723,9296076,2,203
1723,9296075,2,242
2308,7900032,2,225
2468,3749689,2,212
1826,7899560,2,398
2468,3749688,2,214
1826,7899562,2,219
1826,7899561,2,398
1686,9416660,2,245
1826,7899563,2,252
7920943,1984,2,209
6217417,1723,2,252
4037296,2365,2,280
7991806,1869,2,193
2279,5018150,2,245
1686,7899123,2,262
2279,5018151,2,225
1920,7931965,2,226
1686,7899124,2,245
7932238,1723,2,195
1686,9296064,2,288
2468,7931972,2,226
2468,7931973,2,252
2392,3887810,2,233
9128582,2279,2,257
7920944,1691,2,185
7932237,2468,2,226
7920918,2392,2,208
1723,8357914,2,210
2365,4037037,2,219
2101,4045016,2,281
2267,9417181,2,232
2267,9417182,2,234
3741063,1883,2,200
7932238,2468,2,195
2526,4036996,2,238
7920914,2365,2,278
2476,2477,2,57
2402,2401,2,122
4687336,2176,2,206
9295929,2455,2,241
1826,7275666,2,409
9295924,2477,2,235
1826,7275665,2,434
1826,7275664,2,406
2267,7932030,2,232
1723,9416659,2,214
2468,3893335,2,187
2468,3893336,2,187
1723,9416658,2,205
9295935,2101,2,211
7920909,1646,2,238
7931946,1720,2,208
1743,7945899,2,198
1669,7964962,2,279
1669,7964963,2,227
3741064,1883,2,208
1723,9417160,2,252
1826,7991687,2,219
1723,9417162,2,226
2309,7922557,2,200
7931950,1841,2,260
1826,7991686,2,278
7932211,1826,2,406
5067573,2176,2,206
6408746,2337,2,250
1826,9296034,2,243
1826,9296033,2,211
8321644,2455,2,211
1826,9296032,2,405
7932213,1826,2,252
2308,3749685,2,197
2308,3749684,2,225
2468,1724,2,131
1826,4045007,2,398
7991810,1982,2,245
1743,3750043,2,251
4037294,1646,2,238
1826,4045009,2,252
1743,3750045,2,244
8321676,2052,2,223
2308,3749683,2,243
2308,3749682,2,235
7931941,2037,2,251
1824,1826,2,108
3901291,3908823,2,204
9295925,1667,2,218
2421,7899184,2,210
2421,7899183,2,194
4009231,2337,2,218
2468,1715,2,480
2392,7275667,2,208
7275548,2468,2,226
1646,7946290,2,238
1743,9417320,2,197
1982,7913295,2,245
3901291,3908822,2,199
2308,7899125,2,197
3901291,3908821,2,199
2308,7899126,2,225
6217415,2468,2,215
9128412,1826,2,226
2308,7899127,2,243
7932212,1826,2,219
1669,5138178,2,185
1655,1883,2,180
2421,7647729,2,214
4037251,2365,2,398
2421,7647728,2,232
7932212,2365,2,219
1870,8451820,2,322
2365,7946343,2,278
8321707,2052,2,211
7931942,2402,2,188
2402,7911762,2,210
2402,7911761,2,210
1691,4037033,2,185
1886,7945903,2,251
4037277,2402,2,188
1691,7275658,2,185
2174,7013420,2,196
2174,7013421,2,207
7931924,2245,2,231
1883,7931439,2,250
2496,7899124,2,245
2496,7899123,2,262
8321673,2455,2,244
2282,7945897,2,184
2526,6591468,2,238
1883,7931438,2,267
1870,8451818,2,207
1870,8451817,2,279
2337,5091946,2,207
2337,5091945,2,241
2245,7932028,2,231
1826,7922526,2,405
2337,3681788,2,236
2337,3681789,2,275
4022885,2052,2,281
1826,7922523,2,190
1826,7922524,2,211
7931942,1792,2,188
1886,7945897,2,184
3812975,1826,2,190
8367326,2477,2,234
2309,5138187,2,200
2309,5138186,2,195
2365,9185164,2,405
1826,7931542,2,211
2365,9185162,2,404
1826,7931543,2,405
3813041,2309,2,200
2365,9185163,2,434
1826,7931548,2,440
1826,7931549,2,211
8007409,2468,2,210
9295933,2101,2,259
7932232,2336,2,193
1883,4211798,2,245
7946128,1792,2,210
1883,4211797,2,225
4009239,2176,2,321
7920914,1826,2,278
2468,7946313,2,203
7931940,2037,2,205
1743,7945900,2,204
8321671,2477,2,218
9128582,1883,2,257
2479,7931868,2,200
2479,7931867,2,227
2479,7931865,2,279
9128439,1723,2,226
1632,7275660,2,198
2421,9384731,2,232
7312135,1870,2,322
7932228,1669,2,279
1710,7931870,2,254
7932239,2468,2,215
1686,3749686,2,245
1686,3749687,2,262
8367323,2392,2,208
1826,7931541,2,190
2496,9296064,2,288
1723,9296136,2,242
2156,2090,2,180
7931947,2308,2,225
2479,7964963,2,227
2479,7964962,2,279
1870,3681864,2,275
1782,7946344,2,288
9295937,1982,2,229
7932229,2052,2,223
2501,9417125,2,224
2365,4045007,2,398
2365,4045009,2,252
2468,9416634,2,205
2421,7899229,2,210
2421,7899228,2,194
7932230,2052,2,211
3901291,5761282,2,227
7920946,2512,2,198
3901291,5761283,2,204
2365,7899620,2,278
7932235,2468,2,254
1669,7986265,2,198
2365,7946286,2,280
2365,7946283,2,434
2365,7946282,2,440
2365,7899619,2,280
1743,4035715,2,199
2365,7946285,2,252
2402,4045027,2,210
2365,7946284,2,211
8367322,1632,2,198
4687337,2176,2,186
1826,7922555,2,440
1667,5138220,2,194
2501,9417189,2,224
9295930,1669,2,206
1743,4035714,2,210
2468,9416659,2,214
1686,5138164,2,247
2468,9416658,2,205
1920,9417214,2,231
1686,5138165,2,288
1824,2365,2,108
1782,5121375,2,208
9128413,2365,2,248
2365,4037000,2,280
2468,7900217,2,186
2365,4037001,2,252
2468,7900216,2,186
2365,4037002,2,278
2365,4037003,2,434
2365,4037004,2,440
4037296,1826,2,280
2468,7946340,2,242
1906,7931441,2,249
1906,7931440,2,186
1723,8399860,2,252
4009272,1870,2,258
1722,2468,2,220
9128531,2279,2,257
7931924,1920,2,231
9128410,1826,2,404
1646,3887775,2,275
5067573,1986,2,140
2392,7946344,2,288
2037,2551,2,180
1723,9416505,2,252
1886,7931456,2,184
3812975,2365,2,190
1723,8399858,2,247
1723,8399859,2,247
1723,9416506,2,215
1906,7932030,2,232
2512,3887809,2,198
7991810,2172,2,245
1723,7946313,2,203
2172,1980,2,119
9295929,1710,2,241
8367320,1691,2,185
7932224,1710,2,241
1743,7899229,2,210
1826,6591473,2,252
1743,7899228,2,194
1826,6591472,2,280
1666,1667,2,65
3741070,2421,2,254
1826,5121373,2,434
7991808,1982,2,199
1826,5121372,2,406
9128461,2365,2,278
1826,6591476,2,440
1826,5121374,2,409
1826,6591475,2,434
2282,7945903,2,251
2421,7945900,2,204
2477,5138220,2,194
2477,7931857,2,218
2172,2170,2,96
1723,7946340,2,242
2337,4037025,2,236
7932225,2479,2,206
2337,4037024,2,236
2526,7946290,2,238
2468,4036748,2,195
9128533,2267,2,218
2468,4036749,2,226
9128532,2267,2,195
1646,7931876,2,284
2468,4036747,2,210
7932224,2455,2,241
7932228,2479,2,279
1723,4036827,2,254
5067574,2176,2,186
7275549,1723,2,241
2267,5018152,2,186
2267,5018153,2,249
5355360,3901291,2,222
5355360,3901292,2,222
1723,8079716,2,195
