service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
13522843,0,0,0,0,0,0,0,20210504,20210601
3522838,0,0,0,0,0,0,0,20210418,20210919
13522842,0,0,0,0,0,0,0,20210720,20210813
3522839,0,0,0,0,0,0,0,20210324,20210416
13522841,0,0,0,0,0,0,0,20210420,20210923
3522849,0,0,0,0,0,0,0,20210501,20210523
3522843,0,0,0,0,0,0,0,20210503,20210531
13522849,0,0,0,0,0,0,0,20210502,20210524
3522841,0,0,0,0,0,0,0,20210419,20210922
3522842,0,0,0,0,0,0,0,20210719,20210812
13522847,0,0,0,0,0,0,0,20210702,20210901
3412862,0,0,0,0,0,0,0,20210423,20210917
3522847,0,0,0,0,0,0,0,20210701,20210831
13522838,0,0,0,0,0,0,0,20210419,20210920
13412864,0,0,0,0,0,0,0,20210418,20210919
13412862,0,0,0,0,0,0,0,20210424,20210918
3412864,0,0,0,0,0,0,0,20210417,20210918
3522840,0,0,0,0,0,0,0,20210412,20210412
