from_stop_id,to_stop_id,transfer_type,min_transfer_time
2159,7013405,2,214
2159,7013404,2,222
2159,7013403,2,216
1692,7922556,2,188
2034,4036980,2,273
2159,7013402,2,211
1855,4036763,2,249
1964,7900042,2,243
1731,3887776,2,279
1855,4036762,2,270
1731,3887777,2,232
7920949,2363,2,252
1721,7964966,2,196
9128412,2363,2,226
2126,1957,2,196
2466,4045013,2,234
2208,1954,2,59
7920958,1764,2,222
7946087,2208,2,199
2230,8451935,2,230
2077,2212,2,151
1742,7714409,2,252
2363,3887780,2,248
7899401,2152,2,232
2442,4036998,2,279
2442,4036999,2,232
2322,4036763,2,249
7920959,2487,2,270
2322,4036762,2,270
2212,3749738,2,281
1996,7946367,2,234
2034,7275145,2,273
7920961,2208,2,210
1996,7946368,2,256
8321670,1733,2,220
9416184,2219,2,194
2363,3887778,2,280
1742,7714410,2,252
1964,7161644,2,213
2363,3887779,2,252
1964,7161643,2,213
1953,4035562,2,208
1953,4035561,2,199
1953,4035563,2,254
2487,7275146,2,257
1645,2409,2,90
2230,6591458,2,271
7946092,2061,2,229
2466,7931802,2,230
2230,6591459,2,255
1964,2155,2,109
1742,9128357,2,215
1742,9128356,2,256
3813040,2502,2,188
1824,7922523,2,190
1828,7275207,2,278
2208,7275142,2,190
1824,7922524,2,211
2208,7275143,2,193
1824,7922526,2,405
7920915,1824,2,434
1964,7945885,2,213
1964,7986310,2,282
9128536,1742,2,196
1964,7986311,2,293
2472,7275446,2,210
8985193,1953,2,208
7946192,1975,2,255
1996,7292434,2,270
1735,9296025,2,262
7899670,1964,2,308
2363,2364,2,381
2363,2365,2,108
2363,2366,2,289
7899668,1964,2,284
3741063,2535,2,200
2230,7275152,2,271
2230,7275153,2,255
7991682,1824,2,211
1964,7986309,2,284
7946085,2208,2,244
9160961,1742,2,287
1824,9078437,2,225
1957,7899133,2,274
2219,7945916,2,245
1957,7899131,2,235
2219,7945917,2,200
2413,6861939,2,222
3343776,2487,2,180
1733,7931800,2,229
1733,7931801,2,220
6591544,2374,2,203
2413,9112790,2,207
2466,4036993,2,260
2223,2322,2,120
2208,5747233,2,254
2208,5747232,2,208
2208,5747231,2,199
1953,1954,2,67
2219,4036769,2,187
1828,5138197,2,229
7920949,1824,2,252
1828,5138196,2,190
2478,7275131,2,206
2478,7275132,2,262
1764,7275215,2,203
1996,7945927,2,210
8985195,2208,2,244
1996,7945926,2,261
1845,4037040,2,186
1964,7921220,2,314
1721,6591465,2,260
1677,1678,2,105
2413,9112769,2,207
1677,4037046,2,270
7920958,2374,2,222
7920905,1721,2,260
1953,2209,2,95
1957,2235,2,420
2219,4036985,2,200
7946086,1953,2,254
7920908,2411,2,197
2219,4036986,2,189
1729,7899617,2,216
2363,7946283,2,434
2363,7946282,2,440
1729,4036988,2,261
1828,7275436,2,278
2363,7946286,2,280
1828,7275435,2,190
2363,7946285,2,252
2363,7946284,2,211
1964,7921219,2,282
1828,7275434,2,229
1953,4035730,2,223
1953,4035731,2,223
1958,1957,2,161
2219,7275150,2,207
3741064,1655,2,208
2208,4044988,2,198
2312,7964968,2,186
1975,7922565,2,255
2040,9295968,2,253
1721,4036993,2,260
2219,7275151,2,189
1957,7899176,2,217
2040,9295970,2,197
3741064,2535,2,208
2466,6591465,2,260
7991796,2212,2,217
2040,9295971,2,195
1824,4037000,2,280
9221761,1996,2,270
1824,4037002,2,278
3754275,2159,2,216
1996,5138193,2,270
1824,4037001,2,252
1996,5138192,2,279
1824,4037004,2,440
1996,5138195,2,240
1824,4037003,2,434
1996,5138194,2,197
1735,7945872,2,220
7921310,2185,2,256
3730328,1735,2,243
1996,1997,2,105
7275315,2219,2,189
4037296,2363,2,280
2487,7945889,2,270
9128518,2322,2,270
7920912,1731,2,232
3730328,2413,2,243
1934,7900230,2,224
7946088,1953,2,190
1934,7900231,2,271
2153,4037047,2,206
1957,7275140,2,282
9128517,2322,2,249
9295923,1733,2,229
3730327,1735,2,206
7920912,2442,2,232
2472,9078434,2,273
2367,7945928,2,190
7920914,2363,2,278
2472,9078436,2,273
2312,7922517,2,246
2312,7922516,2,227
2472,9078433,2,273
2472,9078432,2,273
7899393,1742,2,189
2502,7922556,2,188
2208,4036978,2,199
1828,7945875,2,278
2208,4036979,2,193
1964,4459253,2,221
1964,4459252,2,246
1828,7945874,2,229
1975,6591459,2,255
1975,6591458,2,271
1735,3813519,2,206
1735,3813518,2,201
2411,7899568,2,197
