Geo Point;Geo Shape;ID_REF_ZDL;GARES_ID;NOM_GARE;NOM_IV;MODE_;TERMINUS;IDREFLIGA;RES_COM;LIGNE_CODE;INDICE_LIG;X;Y
-5.98172169979,-1.36127715811;"{""type"": ""Point"", ""coordinates"": [-1.361277158110557, -5.981721699792429]}";42531;144;CHAMPS-ELYSÉES-CLÉMENCEAU;Champs-Elysées-Clémenceau;METRO;;A01534;METRO 1;METRO 1-101063;1;308.03509086;325.72378666
-5.98184070505,-1.36056778937;"{""type"": ""Point"", ""coordinates"": [-1.36056778936635, -5.981840705046399]}";44191;583;NATION;Nation;METRO;;A01534;METRO 1;METRO 1-339;1;420.67232554;300.38826822
-5.98172162809,-1.36083887222;"{""type"": ""Point"", ""coordinates"": [-1.360838872219219, -5.981721628091912]}";44881;777;SAINT-PAUL;St-Paul;METRO;;A01534;METRO 1;METRO 1-101049;1;378.27972412;321.85168457
-5.9818344647,-1.36045449699;"{""type"": ""Point"", ""coordinates"": [-1.36045449699314, -5.981834464700497]}";44528;702;PORTE DE VINCENNES;Pte de Vincennes;METRO;;A01534;METRO 1;METRO 1-101039;1;438.8848877;300.38330078
-5.98153601033,-1.3616803974;"{""type"": ""Point"", ""coordinates"": [-1.361680397402405, -5.98153601033403]}";43785;463;LES SABLONS;Les Sablons;METRO;;A01534;METRO 1;METRO 1-101075;1;245.05180425;359.02212951
-5.98183196643,-1.36071602521;"{""type"": ""Point"", ""coordinates"": [-1.360716025210903, -5.98183196642796]}";43153;962;GARE DE LYON;Gare de Lyon;METRO;;A01534;METRO 1;METRO 1-338;1;396.99195256;303.10042911
-5.98169914913,-1.36086875742;"{""type"": ""Point"", ""coordinates"": [-1.360868757424277, -5.981699149128419]}";415851;352;HÔTEL DE VILLE;Hôtel de Ville;METRO;;A01534;METRO 1;METRO 1-101051;1;373.68898511;325.71488433
-5.98176771823,-1.36074902175;"{""type"": ""Point"", ""coordinates"": [-1.360749021752418, -5.981767718233886]}";42288;54;BASTILLE;Bastille;METRO;;A01534;METRO 1;METRO 1-105071;1;392.27220225;313.67763272
-5.98171428497,-1.3611429072;"{""type"": ""Point"", ""coordinates"": [-1.361142907196981, -5.981714284971393]}";45664;864;TUILERIES;Tuileries;METRO;;A01534;METRO 1;METRO 1-101059;1;329.61712647;325.72113037
-5.98090667691,-1.36167487804;"{""type"": ""Point"", ""coordinates"": [-1.361674878039542, -5.98090667691037]}";43042;297;GABRIEL PÉRI;Gabriel Péri;METRO;;A01546;METRO 13;METRO 13-113075;13;251.50671387;459.71612549
-5.98245467923,-1.3610918652;"{""type"": ""Point"", ""coordinates"": [-1.361091865198532, -5.982454679230115]}";44069;505;MALAKOFF-RUE ETIENNE DOLET;Malakoff-Rue Etienne Dolet;METRO;;A01546;METRO 13;METRO 13-114035;13;331.2449111;206.74597037
