from_stop_id,to_stop_id,transfer_type,min_transfer_time
7899455,2338,2,247
3741095,2235,2,244
8379466,2504,2,208
1958,2235,2,420
7899175,1900,2,220
7931969,1795,2,273
9217367,1833,2,269
7898918,1788,2,240
7946338,1795,2,275
9416546,2087,2,196
1675,1674,2,111
1629,7933299,2,281
2086,5018146,2,223
2086,5018147,2,212
7898953,1812,2,246
9295951,2179,2,204
9416545,2087,2,271
1910,4035733,2,255
1833,2371,2,72
2090,2046,2,120
1629,7933298,2,258
4037277,1791,2,188
7946097,2120,2,227
2405,7900000,2,199
4035806,1674,2,399
1676,1674,2,236
7899528,2296,2,205
7898916,2394,2,208
4037173,2338,2,210
7911751,2148,2,203
6217406,2148,2,191
4045027,1791,2,210
7911764,2405,2,199
1910,4035724,2,244
9416543,1812,2,246
7911761,2401,2,210
2212,1910,2,420
4045031,2547,2,201
5158075,1795,2,273
1900,5747225,2,269
1900,5747226,2,205
7898919,1788,2,234
7931349,2087,2,196
7899524,2235,2,255
7986287,1784,2,210
8961998,2235,2,255
7899609,1812,2,246
4037173,1833,2,210
4037216,2029,2,274
9217793,2338,2,269
7898955,2087,2,271
4035809,2484,2,196
2126,2235,2,360
7899403,2086,2,212
9295951,1989,2,204
7911767,1707,2,213
1833,7920883,2,247
7946080,2484,2,196
2149,2148,2,89
7911759,2405,2,203
7899555,1674,2,220
6591551,1812,2,211
2494,8357912,2,230
7911751,2029,2,203
2509,4459237,2,238
7911760,2120,2,208
7991791,2235,2,242
1910,7945895,2,255
4037174,1833,2,196
7946078,2484,2,387
7911784,2029,2,190
7931347,2128,2,229
7899555,2484,2,220
7911780,1684,2,204
7932276,2452,2,249
7946092,2086,2,229
5231602,1784,2,226
7898913,2128,2,233
8399872,2148,2,205
7932172,2168,2,249
7275218,2086,2,229
4022898,2029,2,249
2126,1910,2,360
4037216,2148,2,274
4037171,1833,2,247
2213,1910,2,420
9128556,2086,2,212
5138161,2120,2,254
9416499,2509,2,281
1684,3749702,2,207
4035807,1674,2,387
1835,2338,2,196
7991824,1674,2,402
2090,2096,2,120
2058,3926285,2,224
2297,2296,2,225
2029,5018181,2,275
2029,9417280,2,225
2029,5018182,2,245
2058,3926284,2,211
7946127,2120,2,208
2029,5018183,2,203
2338,1651,2,138
7911784,2148,2,190
8379466,1694,2,208
1629,4459237,2,238
7931346,2351,2,246
7946128,2401,2,210
1833,1832,2,72
4211808,2086,2,229
8961993,1910,2,244
7911777,2179,2,242
7911757,2452,2,216
2029,9417279,2,225
2029,9417277,2,234
2029,9417278,2,218
2128,6591530,2,229
7911762,2401,2,210
2079,6591530,2,229
4035810,1674,2,274
9217367,2338,2,269
9295950,1989,2,234
7899174,2338,2,237
2087,6591531,2,196
7898923,2338,2,256
9417168,1795,2,273
4022898,2148,2,249
4211801,2547,2,212
8399872,2029,2,205
6591552,2128,2,229
2486,1674,2,234
9416546,2548,2,196
7946098,2405,2,199
1795,4036741,2,273
7898951,2394,2,210
2351,6591529,2,211
2395,2394,2,87
1795,4036742,2,250
1792,2401,2,108
7898955,2548,2,271
2077,2235,2,360
9218117,2338,2,269
7898918,2398,2,240
1957,2235,2,420
9217370,2338,2,269
7898913,2079,2,233
7898953,2351,2,246
9217370,1833,2,269
9416499,1629,2,281
7946094,2046,2,195
2029,9128402,2,225
2029,9128401,2,225
4035809,1674,2,196
2110,2547,2,91
1684,3749734,2,230
2029,9128400,2,234
2548,2115,2,132
7911752,2494,2,209
6591553,2087,2,196
2548,2066,2,98
2296,5747226,2,205
7898910,2087,2,214
7911762,1791,2,210
2296,5747225,2,269
7898916,1784,2,208
7911753,1989,2,197
1795,7900029,2,203
9296048,2148,2,234
7899435,2338,2,198
6217405,2148,2,208
7931968,1795,2,216
7899436,2338,2,201
7931324,2509,2,281
4037280,1795,2,273
7946316,1795,2,250
1902,2296,2,143
7275296,2148,2,274
4036973,2296,2,205
7991823,1674,2,268
9296013,2148,2,234
7275551,1629,2,281
5138159,2405,2,231
2405,2406,2,125
2494,8357875,2,207
4035808,1674,2,207
2338,2531,2,122
1795,7900000,2,199
5231602,2394,2,226
7946094,2096,2,195
7991821,1910,2,255
7911777,1989,2,242
4037171,2338,2,247
2077,1910,2,360
1784,4459268,2,210
2235,7945905,2,244
6217405,2029,2,208
2402,2401,2,122
1785,1784,2,100
1684,8357912,2,230
2338,2371,2,89
7931324,1629,2,281
2087,6591447,2,214
9218117,1833,2,269
2510,1629,2,72
7898919,2398,2,234
7946079,2484,2,207
7275137,2086,2,212
9416500,1629,2,258
7275296,2029,2,274
7899403,2547,2,212
4045029,2096,2,210
9417168,2405,2,273
5231621,2394,2,210
7946097,2071,2,227
7911774,1822,2,260
9296062,2405,2,252
9416543,2351,2,246
7931346,1812,2,246
8961993,2235,2,244
7931368,2548,2,214
2338,7931762,2,247
2338,7931763,2,202
9128453,2452,2,249
7932024,2405,2,250
7911755,1629,2,251
4035807,2484,2,387
1834,1833,2,90
7946337,2405,2,216
7946077,1674,2,399
7931386,1629,2,258
9416657,2338,2,239
7899610,2079,2,206
7911754,2361,2,213
9217987,2338,2,269
1958,1910,2,420
9296011,2029,2,284
2030,2029,2,73
