service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
3545731,0,0,0,0,0,0,0,20210704,20210829
13545732,0,0,0,0,0,0,0,20210419,20210920
13545731,0,0,0,0,0,0,0,20210705,20210830
3412856,0,0,0,0,0,0,0,20210417,20210918
3545738,0,0,0,0,0,0,0,20210423,20210917
13545736,0,0,0,0,0,0,0,20210325,20210923
13545735,0,0,0,0,0,0,0,20210803,20210901
13545738,0,0,0,0,0,0,0,20210424,20210918
3545736,0,0,0,0,0,0,0,20210324,20210922
3545737,0,0,0,0,0,0,0,20210701,20210729
13545737,0,0,0,0,0,0,0,20210702,20210730
13412856,0,0,0,0,0,0,0,20210418,20210919
3545735,0,0,0,0,0,0,0,20210802,20210831
3545732,0,0,0,0,0,0,0,20210418,20210919
