from_stop_id,to_stop_id,transfer_type,min_transfer_time
7899561,1827,2,218
3619167,2276,2,312
9295979,2203,2,181
1724,4035038,2,215
8079716,2469,2,195
7931969,1796,2,273
7920949,2366,2,432
9078451,1858,2,267
1724,4035039,2,215
7946338,1796,2,275
6904254,1741,2,218
9416118,2419,2,210
9159850,2270,2,270
7932018,1820,2,227
2469,1715,2,480
9128467,2469,2,195
1826,1827,2,370
4459240,2469,2,210
5158053,2202,2,200
6741293,140079,2,211
6741293,140078,2,211
7137434,2009,2,256
8219633,2366,2,257
7946060,1872,2,210
8357865,2469,2,252
9159849,1874,2,259
9160969,1874,2,224
7922541,2275,2,322
7137422,2284,2,225
7260970,2462,2,258
1723,2469,2,149
8007367,1724,2,254
9296032,1827,2,225
7911764,2406,2,199
9417205,1820,2,244
1662795,6449043,2,209
9296076,2469,2,203
8219632,1827,2,224
1662795,6449044,2,192
5761302,1717,2,222
9128713,1947,2,288
7946397,2372,2,192
1723,1724,2,141
7312150,2224,2,318
7933362,2359,2,225
4799004,2462,2,205
9384735,2426,2,234
9159908,1692060,2,182
9295989,1928,2,221
7260969,1717,2,207
9416634,1724,2,205
1656,7900003,2,216
7920915,1827,2,254
1656,7900002,2,201
9128384,1872,2,260
5158084,2165,2,212
7946113,1872,2,210
9159852,1874,2,188
7899560,2366,2,218
7899563,1827,2,432
3343762,2293,2,180
8007368,2469,2,252
9159908,1692061,2,182
7946100,2536,2,201
9417156,2359,2,227
4211813,1717,2,258
7899121,1724,2,212
9296075,2469,2,242
2366,9185162,2,224
4036739,2536,2,201
7946101,1656,2,216
4045009,2366,2,432
2363,2366,2,289
5158081,1724,2,226
7647742,1741,2,213
7946286,1827,2,460
9128412,2366,2,406
9416136,1874,2,270
7991682,1827,2,391
9417226,2426,2,235
9128697,1874,2,194
2025,7913228,2,210
5018185,2284,2,235
2025,7913227,2,229
9296067,2426,2,258
7661329,1874,2,224
2366,9185163,2,254
4799005,1717,2,210
2366,9185164,2,225
4037002,2366,2,458
3887782,1928,2,243
2025,2544,2,59
7931383,2469,2,252
2364,1827,2,126
9128697,2270,2,194
8219633,1827,2,257
9295908,1874,2,194
7946110,2419,2,193
7932235,1724,2,254
9128747,1947,2,283
9048878,1662797,2,225
9048878,1662798,2,225
7921365,1948,2,271
9128383,2268,2,292
5158064,2419,2,218
9415983,2270,2,259
4037002,1827,2,458
9416506,1724,2,215
9296032,2366,2,225
7991680,2469,2,226
9128361,2426,2,235
6591472,2366,2,460
6591473,1827,2,432
4016798,2202,2,198
7627552,2224,2,274
7920949,1827,2,432
7946107,1741,2,261
2144,7913227,2,229
7275116,1874,2,187
2144,7913228,2,210
7946371,1948,2,264
9064761,1748,2,247
7931548,2366,2,260
7899620,2366,2,458
9128451,1741,2,247
4036741,1796,2,273
8399860,2469,2,252
5158045,1662797,2,225
9195928,2270,2,187
5158045,1662798,2,225
5158063,2419,2,193
9195916,2270,2,264
7922542,2275,2,309
9296132,1656,2,217
9295869,2214,2,185
2427,9185152,2,242
3749691,2469,2,252
9128549,1874,2,220
9415983,1874,2,259
2427,9185151,2,220
9159850,1874,2,270
9295992,2464,2,207
7931549,1827,2,391
7946101,2536,2,216
9296136,2469,2,242
3749689,1724,2,212
6741426,140078,2,224
7933286,2293,2,223
6741426,140079,2,224
7922555,2366,2,260
9195917,1874,2,209
7931543,1827,2,225
5121373,1827,2,254
4016112,2268,2,221
7900217,1724,2,186
2009,7900008,2,257
7900216,1724,2,186
7946272,1749,2,220
2009,7900006,2,212
4036731,2419,2,193
1166841,1724,2,180
3343762,1897,2,180
9416634,2469,2,205
6591475,1827,2,254
7991678,1897,2,223
9417162,2469,2,226
5761300,1717,2,228
8766096,1662798,2,190
9128467,1724,2,195
8367275,1928,2,213
8766096,1662797,2,190
7647736,1748,2,234
4211770,2462,2,219
9128825,2268,2,321
4037280,1796,2,273
4037296,2366,2,460
7946316,1796,2,250
3749689,2469,2,212
3893335,1724,2,187
5158071,1656,2,216
2224,9185145,2,261
7946114,1872,2,321
7899619,2366,2,460
9128470,1724,2,226
6217417,1724,2,252
2405,2406,2,125
7932237,2469,2,226
7260969,2462,2,207
7932238,1724,2,195
9159799,1959,2,244
4037000,2366,2,460
7275120,1959,2,198
7946382,1879,2,309
2372,9185153,2,192
