service_id,date,exception_type
3545826,20210608,1
3545826,20210609,1
3545826,20210610,1
3545826,20210614,1
3545826,20210615,1
3545826,20210616,1
3545826,20210617,1
3545826,20210621,1
3545826,20210622,1
3545826,20210623,1
3545826,20210624,1
3545826,20210628,1
3545826,20210629,1
3545826,20210630,1
3545826,20210901,1
3545826,20210902,1
3545826,20210906,1
3545826,20210907,1
3545826,20210908,1
3545826,20210909,1
3545826,20210913,1
3545826,20210914,1
3545826,20210915,1
3545826,20210916,1
3545826,20210920,1
3545826,20210921,1
3545826,20210922,1
3412897,20210417,1
3412897,20210424,1
3412897,20210515,1
3412897,20210522,1
3412897,20210529,1
3412897,20210605,1
3412897,20210612,1
3412897,20210619,1
3412897,20210626,1
3412897,20210703,1
3412897,20210710,1
3412897,20210717,1
3412897,20210724,1
3412897,20210731,1
3412897,20210807,1
3412897,20210814,1
3412897,20210821,1
3412897,20210828,1
3412897,20210904,1
3412897,20210911,1
3412897,20210918,1
