from_stop_id,to_stop_id,transfer_type,min_transfer_time
9296094,2220,2,243
9416524,2066,2,214
1967,1965,2,480
7922512,2220,2,346
8367262,2220,2,346
6591457,1965,2,204
7921117,2220,2,207
7931370,2218,2,216
7161643,1965,2,213
1166834,1965,2,420
1166835,2220,2,420
7275316,1965,2,189
9416548,1758,2,208
9416117,1965,2,209
7899549,1798,2,255
6591840,2218,2,216
3687659,1753,2,242
6591450,967988,2,217
4037195,2289,2,226
7931521,967988,2,253
7931521,967989,2,253
7945914,2439,2,214
9416539,967989,2,207
4036986,2220,2,189
8367259,1965,2,247
9416539,967988,2,207
7898907,1758,2,208
6591557,2492,2,211
6591541,1965,2,204
7931352,2266,2,225
9416182,2220,2,209
8367260,2289,2,273
2222,1965,2,480
4036985,2220,2,200
7931355,2492,2,211
7899670,2220,2,308
6830742,2271,2,188
9416534,2100,2,243
8451933,2220,2,187
7899148,1758,2,197
8985204,2218,2,205
7931370,1963,2,216
2219,2220,2,400
7275451,2220,2,207
2430,2431,2,140
7986311,2220,2,293
1767,967988,2,180
9416526,1758,2,206
1767,967989,2,180
7899456,967988,2,217
9048665,2431,2,220
2099,2100,2,137
7931368,2115,2,214
7899147,2436,2,217
7899456,967989,2,217
8010712,1875,2,254
9416548,2436,2,208
7898911,2066,2,196
7275453,2220,2,208
7899579,1893,2,226
7921181,2220,2,246
9296094,1965,2,243
7932037,1753,2,250
9416524,2115,2,214
7899986,1965,2,314
9128514,2220,2,314
9416522,2218,2,216
7900232,1761,2,256
2223,2220,2,480
6591453,2100,2,214
7899549,2408,2,255
7899606,1753,2,192
7986310,2220,2,282
6591847,2220,2,241
7898906,1758,2,214
4037195,1893,2,226
6591847,1893,2,223
6869547,1875,2,254
4459253,2289,2,245
7921176,2289,2,226
9416549,1905,2,225
6591444,1682,2,270
7931352,1905,2,225
7275316,2220,2,189
8451933,1965,2,187
4036649,1965,2,314
8367262,1965,2,346
7899577,1965,2,243
6591847,1965,2,241
6869547,2271,2,254
9416555,1682,2,211
6591457,2220,2,204
7932039,1753,2,198
7921219,2220,2,282
7899616,1893,2,218
7899533,1798,2,202
8367259,1893,2,273
7931338,2100,2,213
7931373,967989,2,231
7931373,967988,2,231
7275151,1965,2,189
7932037,2431,2,250
7275148,1761,2,214
9416559,2431,2,204
6673110,2220,2,207
8367260,1965,2,247
9296091,2220,2,308
7931348,2115,2,271
2431,4009041,2,278
4459252,2220,2,246
9384720,1753,2,211
9416676,1758,2,197
7922511,1965,2,152
6591835,2431,2,206
6591842,967989,2,217
6591842,967988,2,217
9128568,2220,2,189
7931349,2115,2,196
967988,2527,2,180
7931408,1798,2,202
1968,1965,2,480
9128513,2220,2,189
7275452,1965,2,221
9416558,2431,2,206
7275148,2439,2,214
7900042,2220,2,243
1753,4009041,2,278
7899147,1758,2,217
8985204,1963,2,205
8367259,2220,2,247
7932204,1761,2,214
7986309,1965,2,284
9048667,1875,2,188
7921181,1965,2,246
6591837,1905,2,237
4036983,1761,2,214
6591837,2266,2,237
4036822,1965,2,314
7922510,2220,2,152
7945885,1965,2,213
7275150,1965,2,207
9416522,1963,2,216
7986309,2220,2,284
7647707,2431,2,211
7922511,2220,2,152
7931362,1682,2,270
4037199,1965,2,308
7932203,2051,2,214
7900234,2439,2,208
7275317,2220,2,308
1965,2155,2,250
7931404,2492,2,270
9128567,2220,2,189
6591536,2271,2,188
4036647,2289,2,226
6591448,1963,2,216
6591447,2115,2,214
7275451,1965,2,207
7899984,2220,2,204
6591845,2439,2,214
3687659,2431,2,242
7991690,1758,2,208
7931359,2431,2,253
6673109,2220,2,207
9128568,1965,2,189
6591445,1905,2,237
7986309,1893,2,215
7931360,1753,2,211
6591844,2100,2,214
1797,2408,2,79
9128569,1965,2,314
9416676,2436,2,197
9416549,2266,2,225
9416183,1965,2,187
7275151,2220,2,189
7899985,1965,2,157
8010712,2271,2,254
6673109,1965,2,207
6591456,2220,2,200
6591541,2220,2,204
6591839,2066,2,214
1752,2431,2,131
7945913,2051,2,243
2220,2155,2,210
7932202,967988,2,217
7991688,2436,2,206
7932202,967989,2,217
9416561,2431,2,253
6591526,967989,2,229
1965,2036,2,240
6591526,967988,2,229
7931368,2066,2,214
6591524,2100,2,243
6591560,2271,2,188
7161644,1965,2,213
2222,2220,2,480
9296091,1965,2,308
9416527,2266,2,237
8007559,2436,2,206
8367330,1965,2,243
6591555,1905,2,225
3343777,967988,2,180
9416519,967989,2,231
9416519,967988,2,231
9128569,2220,2,314
4036769,1965,2,187
2087,2066,2,95
7921176,1893,2,226
2376,967988,2,180
7900042,1965,2,243
2376,967989,2,180
7899579,2289,2,226
8367260,1893,2,273
7899984,1965,2,204
7945914,1761,2,214
9048665,1753,2,220
6591453,2051,2,214
