service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
13545806,0,0,0,0,0,0,0,20210419,20210531
13412889,0,0,0,0,0,0,0,20210418,20210919
13545808,0,0,0,0,0,0,0,20210803,20210901
3545811,0,0,0,0,0,0,0,20210701,20210729
13545807,0,0,0,0,0,0,0,20210607,20210920
13545811,0,0,0,0,0,0,0,20210702,20210730
3545804,0,0,0,0,0,0,0,20210501,20210714
13545804,0,0,0,0,0,0,0,20210502,20210715
3545809,0,0,0,0,0,0,0,20210324,20210922
3545808,0,0,0,0,0,0,0,20210802,20210831
3545807,0,0,0,0,0,0,0,20210606,20210919
3545806,0,0,0,0,0,0,0,20210418,20210530
13412887,0,0,0,0,0,0,0,20210424,20210918
13545809,0,0,0,0,0,0,0,20210325,20210923
3412887,0,0,0,0,0,0,0,20210423,20210917
3412889,0,0,0,0,0,0,0,20210417,20210918
