service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
3545771,0,0,0,0,0,0,0,20210701,20210729
13545767,0,0,0,0,0,0,0,20210502,20210524
13412865,0,0,0,0,0,0,0,20210424,20210918
3545769,0,0,0,0,0,0,0,20210802,20210831
13545766,0,0,0,0,0,0,0,20210419,20210531
3412869,0,0,0,0,0,0,0,20210417,20210918
13545765,0,0,0,0,0,0,0,20210607,20210920
3545766,0,0,0,0,0,0,0,20210418,20210530
3545765,0,0,0,0,0,0,0,20210606,20210919
3412865,0,0,0,0,0,0,0,20210423,20210917
3545768,0,0,0,0,0,0,0,20210324,20210922
3545767,0,0,0,0,0,0,0,20210501,20210523
13545771,0,0,0,0,0,0,0,20210702,20210730
13412869,0,0,0,0,0,0,0,20210418,20210919
13545769,0,0,0,0,0,0,0,20210803,20210901
13545768,0,0,0,0,0,0,0,20210325,20210923
