route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
2467854,3412865,10034128650651570,102,102,0,
2467854,3412869,10034128690651570,102,102,0,
2467854,3545767,10035457670651570,102,102,0,
2467854,3412865,10134128650651570,102,102,0,
2467854,3412869,10134128690651570,102,102,0,
2467854,3545767,10135457670651570,102,102,0,
2467854,3412865,10234128650651570,102,102,0,
2467854,3412869,10234128690651570,102,102,0,
2467854,3545767,10235457670651570,102,102,0,
2467854,3412865,10334128650651570,102,102,0,
2467854,3412869,10334128690651570,102,102,0,
2467854,3545767,10335457670651570,102,102,0,
2467854,3412865,1034128650651570,102,102,0,
2467854,3412869,1034128690651570,102,102,0,
2467854,3545767,1035457670651570,102,102,0,
2467854,3412865,10434128650651570,102,102,0,
2467854,3412869,10434128690651570,102,102,0,
2467854,3545767,10435457670651570,102,102,0,
2467854,3412865,10534128650651570,102,102,0,
2467854,3412869,10534128690651570,102,102,0,
2467854,3545767,10535457670651570,102,102,0,
2467854,3412865,10634128650651570,102,102,0,
2467854,3412869,10634128690651570,102,102,0,
2467854,3545767,10635457670651570,102,102,0,
2467854,3412865,10734128650651570,102,102,0,
2467854,3412869,10734128690651570,102,102,0,
2467854,3545767,10735457670651570,102,102,0,
2467854,3412865,10834128650651570,102,102,0,
2467854,3412869,10834128690651570,102,102,0,
2467854,3545767,10835457670651570,102,102,0,
2467854,3412865,10934128650651570,102,102,0,
2467854,3412869,10934128690651570,102,102,0,
2467854,3545767,10935457670651570,102,102,0,
2467854,3412865,11034128650651570,102,102,0,
2467854,3412869,11034128690651570,102,102,0,
2467854,3545767,11035457670651570,102,102,0,
2467854,3412865,11134128650651570,102,102,0,
2467854,3412869,11134128690651570,102,102,0,
2467854,3545767,11135457670651570,102,102,0,
2467854,3412865,11234128650651570,102,102,0,
2467854,3412869,11234128690651570,102,102,0,
2467854,3545767,11235457670651570,102,102,0,
2467854,3412865,11334128650651570,102,102,0,
2467854,3412869,11334128690651570,102,102,0,
2467854,3545767,11335457670651570,102,102,0,
2467854,3412865,1134128650651570,102,102,0,
2467854,3412869,1134128690651570,102,102,0,
2467854,3545767,1135457670651570,102,102,0,
2467854,3412865,11434128650651570,102,102,0,
2467854,3412869,11434128690651570,102,102,0,
2467854,3545767,11435457670651570,102,102,0,
2467854,3412865,11534128650651570,102,102,0,
2467854,3412869,11534128690651570,102,102,0,
2467854,3545767,11535457670651570,102,102,0,
2467854,3412865,11634128650651570,102,102,0,
2467854,3412869,11634128690651570,102,102,0,
2467854,3545767,11635457670651570,102,102,0,
2467854,3412865,11734128650651570,102,102,0,
