from_stop_id,to_stop_id,transfer_type,min_transfer_time
2252,3812978,2,210
2476,8367271,2,217
1666,7931857,2,218
1666,7932279,2,226
9295924,1666,2,235
7176293,2207,2,197
2252,9128415,2,243
2252,3812979,2,221
2346,4024524,2,198
2150,6591485,2,229
2346,4024523,2,198
2031,6591485,2,229
2031,6591486,2,237
2150,6591486,2,237
7921338,2299,2,190
2005,8379505,2,218
2137,9416194,2,213
2005,8379506,2,203
2137,9416193,2,217
2005,8379503,2,200
1666,8367271,2,217
2005,8379504,2,230
2533,8321668,2,232
2241,1657,2,133
2005,7069452,2,228
2005,7069450,2,210
2005,7069451,2,181
7899688,1818,2,198
1672,2167,2,300
7899714,2194,2,203
7931499,1952,2,208
1927,3812978,2,210
1916,3812988,2,268
1977,7932209,2,245
1666,8321703,2,218
2167,9416236,2,245
1952,3887757,2,232
1653,7931779,2,232
4024988,2005,2,238
2137,7946198,2,217
9296157,2207,2,243
1927,3812979,2,221
8433,8379486,2,223
2350,8451939,2,278
8433,8379485,2,196
2350,8451938,2,267
8433,8379488,2,198
8433,8379487,2,228
2005,7069449,2,202
2194,7131581,2,319
2299,7911739,2,223
2167,4036772,2,245
2194,3442590,2,203
2150,7913254,2,199
2533,7931804,2,186
2533,7931805,2,232
1666,8367326,2,234
1811,9416237,2,267
2354,7013446,2,231
2005,3442590,2,203
2167,7946196,2,245
2193,3681815,2,230
2533,1845,2,105
1867,8367328,2,235
2193,3681816,2,201
7921334,2031,2,195
2193,3681818,2,312
1817,7013445,2,234
3343756,2241,2,180
2241,9417134,2,187
2241,9417135,2,198
4037260,1952,2,208
2241,9417136,2,209
4471841,1952,2,208
2241,9417132,2,267
7899699,2005,2,211
4025058,2194,2,203
7921356,2346,2,216
7921333,2150,2,210
3343755,2241,2,180
2207,3926338,2,208
3343755,1916,2,180
2167,9296099,2,274
2533,8321700,2,232
2005,7131581,2,319
1666,5138220,2,194
1811,8321651,2,276
2346,7714345,2,260
7921357,8433,2,216
2346,7714344,2,256
7899715,2005,2,202
1811,7946197,2,267
1811,7931809,2,188
2354,2353,2,71
2533,8321648,2,186
2500,8367324,2,215
1867,4037039,2,235
2005,4015831,2,203
9295925,2476,2,218
2018,7946151,2,213
1867,7931781,2,264
1690,8367324,2,215
2018,7946150,2,217
7931481,2207,2,232
7921333,2031,2,210
2193,3681846,2,201
2193,3681845,2,312
4024988,2194,2,238
2194,3442588,2,210
2194,3442587,2,202
2334,7931802,2,264
2137,7946151,2,213
2137,7946150,2,217
1977,7931808,2,245
1927,9295988,2,210
2018,9416238,2,217
2194,8379506,2,203
1908,2232,2,67
2194,8379503,2,200
1916,9417193,2,267
8433,7714344,2,256
2194,8379504,2,230
1916,9417194,2,187
1653,6591519,2,186
8433,7714345,2,260
2194,8379505,2,218
1666,7931799,2,234
1927,9295989,2,221
1977,7931806,2,195
2533,7922517,2,246
2533,7922516,2,227
2533,8367267,2,227
7921357,2346,2,216
7921334,2150,2,195
7931481,1952,2,232
2350,9416237,2,267
2167,9416190,2,245
2106,6591484,2,182
1952,2206,2,169
1927,9128459,2,213
2476,7932220,2,194
1672,1977,2,300
2026,7013436,2,213
1817,2355,2,51
2476,2477,2,57
9295924,2476,2,235
1952,2211,2,800
1927,9064617,2,243
2252,9064617,2,243
2207,7920836,2,263
2207,7920837,2,263
1666,7932220,2,194
2005,3632431,2,218
1811,7946148,2,267
2005,3442587,2,202
1811,7946149,2,278
2005,3442588,2,210
1952,7176292,2,197
2018,7946198,2,217
7931499,2207,2,208
2018,7932151,2,189
1977,9078433,2,274
1952,7931558,2,208
1977,9078434,2,274
1977,9078436,2,274
8433,4024524,2,198
8433,4024523,2,198
1977,9078432,2,274
2334,7899571,2,235
1927,1928,2,160
1927,8367275,2,213
2533,7899573,2,189
2005,7069272,2,218
2533,7899572,2,187
2005,7069273,2,203
7921356,8433,2,216
2031,8367289,2,195
2031,8367288,2,229
2207,7176395,2,197
2167,7931806,2,195
2167,7931808,2,245
2476,8321671,2,218
2207,7176292,2,197
