service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
13545790,0,0,0,0,0,0,0,20210419,20210531
13412879,0,0,0,0,0,0,0,20210424,20210918
13545792,0,0,0,0,0,0,0,20210702,20210901
13545791,0,0,0,0,0,0,0,20210502,20210715
3545789,0,0,0,0,0,0,0,20210606,20210919
13412880,0,0,0,0,0,0,0,20210418,20210919
3412880,0,0,0,0,0,0,0,20210417,20210918
3545792,0,0,0,0,0,0,0,20210701,20210831
3545791,0,0,0,0,0,0,0,20210501,20210714
3412879,0,0,0,0,0,0,0,20210423,20210917
3545790,0,0,0,0,0,0,0,20210418,20210530
3545795,0,0,0,0,0,0,0,20210802,20210819
3545794,0,0,0,0,0,0,0,20210324,20210922
13545794,0,0,0,0,0,0,0,20210325,20210923
13545789,0,0,0,0,0,0,0,20210607,20210920
13545795,0,0,0,0,0,0,0,20210803,20210820
