Geo Point;origin_x;origin_y;arrival_x;arrival_y;Geo Shape;IDREFLIGA;IDREFLIGC;LIGNE;MODE_;FOURCHE
-5.98185983251,-1.36030182788;-1,36033;-5,98186;-1,36028;-5,98186;"{""type"": ""LineString"", ""coordinates"": [[-1.360327076813223, -5.98186122735026, 0.0], [-1.360276578937109, -5.981858437672479, 0.0]]}";A01534;C01371;1;METRO;0
-5.98158124586,-1.36155204287;-1,36160;-5,98156;-1,36150;-5,98160;"{""type"": ""LineString"", ""coordinates"": [[-1.361600121048015, -5.981564301545829, 0.0], [-1.361503964692529, -5.981598190177645, 0.0]]}";A01534;C01371;1;METRO;0
-5.98168590237,-1.3613597816;-1,36138;-5,98167;-1,36134;-5,98170;"{""type"": ""LineString"", ""coordinates"": [[-1.361377896978577, -5.981670228367321, 0.0], [-1.361341666211697, -5.9817015763788, 0.0]]}";A01534;C01371;1;METRO;0
-5.98170980922,-1.3610618474;-1,36108;-5,98171;-1,36104;-5,98171;"{""type"": ""LineString"", ""coordinates"": [[-1.361083891670078, -5.981711025590659, 0.0], [-1.361039803124305, -5.981708592857752, 0.0]]}";A01534;C01371;1;METRO;0
-5.98170240144,-1.36092767529;-1,36099;-5,98171;-1,36087;-5,98170;"{""type"": ""LineString"", ""coordinates"": [[-1.360986594286839, -5.981705653812575, 0.0], [-1.360868756285275, -5.98169914906538, 0.0]]}";A01534;C01371;1;METRO;0
-5.98172871097,-1.36057383954;-1,36058;-5,98170;-1,36057;-5,98176;"{""type"": ""LineString"", ""coordinates"": [[-1.360575695142343, -5.981695038063014, 0.0], [-1.360571983936833, -5.981762383877763, 0.0]]}";A01535;C01372;2;METRO;0
-5.98153511326,-1.36058450832;-1,36059;-5,98150;-1,36058;-5,98157;"{""type"": ""LineString"", ""coordinates"": [[-1.360586261226339, -5.981503307229188, 0.0], [-1.360582755408075, -5.981566919285966, 0.0]]}";A01535;C01372;2;METRO;0
-5.98148506827,-1.36059248732;-1,36061;-5,98147;-1,36059;-5,98150;"{""type"": ""LineString"", ""coordinates"": [[-1.360605325342487, -5.981470106964605, 0.0], [-1.360590815620892, -5.981483110845989, 0.0], [-1.360590082993106, -5.981483861074095, 0.0], [-1.360589389657702, -5.981484754931826, 0.0], [-1.360588749166507, -5.981485753897412, 0.0], [-1.360588180621342, -5.981486829288126, 0.0], [-1.360587698461182, -5.981487947206585, 0.0], [-1.360587316787302, -5.981489072974181, 0.0], [-1.360587055354031, -5.981490172987669, 0.0], [-1.36058692773606, -5.981491215208238, 0.0], [-1.360586261226339, -5.981503307229188, 0.0]]}";A01535;C01372;2;METRO;0
-5.98141741311,-1.36136988105;-1,36141;-5,98146;-1,36133;-5,98138;"{""type"": ""LineString"", ""coordinates"": [[-1.361406590435385, -5.981458460320289, 0.0], [-1.361358426545971, -5.981404609512135, 0.0], [-1.361333178089346, -5.9813763601608, 0.0]]}";A01535;C01372;2;METRO;0
-5.98165532185,-1.36145523703;-1,36149;-5,98170;-1,36143;-5,98161;"{""type"": ""LineString"", ""coordinates"": [[-1.361491760230147, -5.98169898760816, 0.0], [-1.361434114089765, -5.981634534799245, 0.0], [-1.361433511657137, -5.981633761768141, 0.0], [-1.361432958462917, -5.981632862590053, 0.0], [-1.361432468394124, -5.981631868536147, 0.0], [-1.361432049938455, -5.981630812103765, 0.0], [-1.361431717995983, -5.981629726907757, 0.0], [-1.36143148073772, -5.98162864428413, 0.0], [-1.361431350173338, -5.981627595018784, 0.0], [-1.361431338356313, -5.981626616000518, 0.0], [-1.361432444056074, -5.981606546009535, 0.0]]}";A01535;C01372;2;METRO;0
-5.9813040809,-1.36086042463;-1,36096;-5,98131;-1,36077;-5,98132;"{""type"": ""LineString"", ""coordinates"": [[-1.360956512517225, -5.981307186075462, 0.0], [-1.360801490226729, -5.981298623282513, 0.0], [-1.360799465855942, -5.981298765933648, 0.0], [-1.360797299016802, -5.981299336885514, 0.0], [-1.360795250935946, -5.98130024688792, 0.0], [-1.36079358336658, -5.981301404050835, 0.0], [-1.360771195330746, -5.981321464065589, 0.0]]}";A01535;C01372;2;METRO;0
-5.98131124196,-1.36102993647;-1,36110;-5,98132;-1,36096;-5,98131;"{""type"": ""LineString"", ""coordinates"": [[-1.361103361147324, -5.981315298652511, 0.0], [-1.360956511799866, -5.981307185273186, 0.0]]}";A01535;C01372;2;METRO;0
-5.98131607662,-1.36111744339;-1,36113;-5,98132;-1,36110;-5,98132;"{""type"": ""LineString"", ""coordinates"": [[-1.361131524807899, -5.981316854518655, 0.0], [-1.361103361964482, -5.981315298712115, 0.0]]}";A01535;C01372;2;METRO;0
-5.9814472852,-1.36063079037;-1,36066;-5,98142;-1,36061;-5,98147;"{""type"": ""LineString"", ""coordinates"": [[-1.360656255392771, -5.981424463437556, 0.0], [-1.360605325342487, -5.981470106964605, 0.0]]}";A01535;C01372;2;METRO;0
-5.98133326415,-1.36075802723;-1,36077;-5,98132;-1,36074;-5,98135;"{""type"": ""LineString"", ""coordinates"": [[-1.360771195330746, -5.981321464065589, 0.0], [-1.360744859137289, -5.981345064230712, 0.0]]}";A01535;C01372;2;METRO;0
-5.98171814001,-1.36151371764;-1,36154;-5,98173;-1,36149;-5,98170;"{""type"": ""LineString"", ""coordinates"": [[-1.361540541203196, -5.981727385449544, 0.0], [-1.361520468828185, -5.981726276585489, 0.0], [-1.361519498254644, -5.981726156514727, 0.0], [-1.361518470931256, -5.981725912436926, 0.0], [-1.3615174235406, -5.981725555914672, 0.0], [-1.361516381756708, -5.981725104764288, 0.0], [-1.361515379077875, -5.981724573041026, 0.0], [-1.361514447441744, -5.981723975476364, 0.0], [-1.361513614651605, -5.981723325810349, 0.0], [-1.361512915176822, -5.981722641202302, 0.0], [-1.361491760230147, -5.98169898760816, 0.0]]}";A01535;C01372;2;METRO;0
-5.98178553468,-1.36057070835;-1,36057;-5,98176;-1,36057;-5,98181;"{""type"": ""LineString"", ""coordinates"": [[-1.360571983936833, -5.981762383877763, 0.0], [-1.360569432766571, -5.981808685485035, 0.0]]}";A01535;C01372;2;METRO;0
-5.98166553276,-1.36057732102;-1,36058;-5,98164;-1,36058;-5,98170;"{""type"": ""LineString"", ""coordinates"": [[-1.360578946890587, -5.981636027452615, 0.0], [-1.360575695142343, -5.981695038063014, 0.0]]}";A01535;C01372;2;METRO;0
