Geo Point;station_x;station_y;station_x_untruncated;station_y_untruncated;Geo Shape3;Geo Shape2;ID_REF_ZDL;GARES_ID;NOM_GARE;NOM_IV;MODE_;TERMINUS;IDREFLIGA;RES_COM;LIGNE_CODE;INDICE_LIG;X;Y
;-1,36075;-5,98134;-1,360747556;-5,981342649;"{""type"": ""Point"", ""coordinates"": [-1.360747555883042, -5.981342648609495]}";"{""type"": ""Point"", ""coordinates"": [-1.360747555883042, -5.981342648609495]}";43425;374;JAURÈS;Jaurès;METRO;;A01538;METRO 5;METRO 5-117039;5;396.26874139;381.70958596
;-1,36106;-5,98172;-1,361063505;-5,981724214;"{""type"": ""Point"", ""coordinates"": [-1.361063505453368, -5.981724213838811]}";"{""type"": ""Point"", ""coordinates"": [-1.361063505453368, -5.981724213838811]}";44491;674;PONT NEUF;Pont Neuf;METRO;;A01540;METRO 7;METRO 7-107061;7;342.25488281;323.42810059
;-1,36082;-5,98182;-1,360824573;-5,981823398;"{""type"": ""Point"", ""coordinates"": [-1.360824573326408, -5.981823397642898]}";"{""type"": ""Point"", ""coordinates"": [-1.360824573326408, -5.981823397642898]}";44911;842;SULLY-MORLAND;Sully-Morland;METRO;;A01540;METRO 7;METRO 7-107067;7;379.67077978;305.43383539
;-1,36098;-5,98178;-1,36098236;-5,981782697;"{""type"": ""Point"", ""coordinates"": [-1.360982359810689, -5.981782697078626]}";"{""type"": ""Point"", ""coordinates"": [-1.360982359810689, -5.981782697078626]}";42640;188;CITÉ;Cité;METRO;;A01537;METRO 4;METRO 4-104055;4;354.74249854;313.3472394
;-1,36113;-5,98214;-1,361131219;-5,982141404;"{""type"": ""Point"", ""coordinates"": [-1.361131218529172, -5.982141404187472]}";"{""type"": ""Point"", ""coordinates"": [-1.361131218529172, -5.982141404187472]}";43238;565;MONTPARNASSE;Montparnasse;METRO;;A01539;METRO 6;METRO 6-285;6;327.71038181;257.24416023
;-1,36075;-5,98177;-1,360749022;-5,981767718;"{""type"": ""Point"", ""coordinates"": [-1.360749021752418, -5.981767718233886]}";"{""type"": ""Point"", ""coordinates"": [-1.360749021752418, -5.981767718233886]}";42288;55;BASTILLE;Bastille;METRO;;A01538;METRO 5;METRO 5-105071;5;392.27220225;313.67763272
;-1,36118;-5,98199;-1,361182517;-5,981990823;"{""type"": ""Point"", ""coordinates"": [-1.361182517313291, -5.981990823414032]}";"{""type"": ""Point"", ""coordinates"": [-1.361182517313291, -5.981990823414032]}";42874;247;DUROC;Duroc;METRO;;A01546;METRO 13;METRO 13-114049;13;320.82141516;281.80379859
;-1,36066;-5,98142;-1,360656257;-5,981424465;"{""type"": ""Point"", ""coordinates"": [-1.360656256827494, -5.981424465042096]}";"{""type"": ""Point"", ""coordinates"": [-1.360656256827494, -5.981424465042096]}";42311;60;BELLEVILLE;Belleville;METRO;;A01544;METRO 11;METRO 11-111045;11;410.17727634;367.80358087
;-1,36058;-5,98157;-1,360582757;-5,981566919;"{""type"": ""Point"", ""coordinates"": [-1.36058275654708, -5.981566919349004]}";"{""type"": ""Point"", ""coordinates"": [-1.36058275654708, -5.981566919349004]}";44310;634;PÈRE LACHAISE;Père Lachaise;METRO;;A01536;METRO 3;METRO 3-103039;3;420.69639301;344.34825766
;-1,36111;-5,98123;-1,361107836;-5,981234124;"{""type"": ""Point"", ""coordinates"": [-1.361107835723201, -5.981234124230101]}";"{""type"": ""Point"", ""coordinates"": [-1.361107835723201, -5.981234124230101]}";44075;511;MARCADET-POISSONNIERS;Marcadet-Poissonniers;METRO;;A01537;METRO 4;METRO 4-112081;4;339.48760129;402.27425508
